FoodEx2,Food item,L1,GHGE of 1 kg food as consumed_kgCO2eq,Land use of 1 kg food as consumed_m2/yr
A03MB,Beer,Alcoholic beverages,0.430349986,0.573546129
A03MD,"Beer, strong",Alcoholic beverages,0.430349986,0.573546129
A03ME,"Beer, regular",Alcoholic beverages,0.430349986,0.573546129
A03MF,"Beer, light",Alcoholic beverages,0.430349986,0.573546129
A03MG,"Beer, alcohol-free",Alcoholic beverages,0.430349986,0.573546129
A0DCH,Soyabeans for consumption (dry),"Legumes, nuts, oilseeds and spices",1.296118296,2.329043625
A03TF,Textured soy protein,"Products for non-standard diets, food imitates and food supplements",2.278272141,4.537117418
A03TS,Non dairy coffee creamer,"Products for non-standard diets, food imitates and food supplements",0.637959801,1.348532121
A03TT,Tofu,"Products for non-standard diets, food imitates and food supplements",2.278272141,4.537117418
A03TJ,Soya drink,"Products for non-standard diets, food imitates and food supplements",0.530059867,1.008248315
A03PF,Whisky,Alcoholic beverages,1.272915935,0.893636323
A03PG,Gin,Alcoholic beverages,1.224514835,0.893636323
A03PH,Vodka and vodka-like spirits,Alcoholic beverages,1.224514835,0.893636323
A03PJ,Rum,Alcoholic beverages,1.292646635,0.893636323
A03TV,Soya yoghurt,"Products for non-standard diets, food imitates and food supplements",0.637959801,1.348532121
A044R,Soy sauce,"Seasoning, sauces and condiments",1.610136508,3.276807024
A03MQ,Shandy,Alcoholic beverages,0.818116653,0.573546129
A03PN,Cocktail drink,Alcoholic beverages,1.292646635,0.893636323
A036X,"Soya bean oil, refined",Animal and vegetable fats and oils and primary derivatives thereof,4.586731918,12.90325015
A035A,"Caramel, soft","Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A03NS,Liqueurs,Alcoholic beverages,1.005675535,0.893636323
A04QG,Unsweetened flavoured spirits,Alcoholic beverages,1.235205835,0.893636323
A04QF,Unsweetened spirits and liqueurs,Alcoholic beverages,1.235205835,0.893636323
A032H,Sucrose (common sugar),"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A032J,White sugar,"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A03ND,Cider,Alcoholic beverages,0.959971115,0.457317073
A0CSC,Spirits not from fruit,Alcoholic beverages,1.235205835,0.893636323
A032K,Refined beet sugar,"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A036N,"Vegetable fats and oils, edible",Animal and vegetable fats and oils and primary derivatives thereof,3.858805578,14.18037436
A036P,Olive oil,Animal and vegetable fats and oils and primary derivatives thereof,3.791529078,14.18037436
A012P,Peanuts (fresh seeds),"Legumes, nuts, oilseeds and spices",2.290567495,7.461169345
A036V,Rapeseed oil,Animal and vegetable fats and oils and primary derivatives thereof,3.110744146,10.6822371
A015J,Poppy seeds,"Legumes, nuts, oilseeds and spices",1.106591146,6.571545408
A037M,Coconut oil/fat,Animal and vegetable fats and oils and primary derivatives thereof,1.112563255,0.797978692
A037V,Pork lard,Animal and vegetable fats and oils and primary derivatives thereof,11.51580801,18.93939394
A039C,Butter,Animal and vegetable fats and oils and primary derivatives thereof,33.6117324,33.38683788
A039D,Traditional margarine,Animal and vegetable fats and oils and primary derivatives thereof,3.905315245,13.42785406
A039E,Blended margarine,Animal and vegetable fats and oils and primary derivatives thereof,3.905315245,13.42785406
A032M,Brown sugar,"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A039H,Functional vegetable margarines/fats,Animal and vegetable fats and oils and primary derivatives thereof,3.905315245,13.42785406
A037X,Beef tallow (including processed suet),Animal and vegetable fats and oils and primary derivatives thereof,33.32494487,58.86994949
A036Q,"Olive oil, virgin or extra-virgin",Animal and vegetable fats and oils and primary derivatives thereof,3.791529078,14.18037436
A032Q,Flavoured sugar,"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A034X,Hard candies,"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A035B,Toffee,"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A037K,Walnut oil,Animal and vegetable fats and oils and primary derivatives thereof,6.037234668,23.17583039
A037R,Cocoa butter,Animal and vegetable fats and oils and primary derivatives thereof,36.39617902,49.85512087
A039F,Butter and margarine/oil blends,Animal and vegetable fats and oils and primary derivatives thereof,4.343390405,13.42785406
A035F,"Dragée, sugar coated","Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A035J,Liquorice candies,"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A0F1G,Margarines and similar,Animal and vegetable fats and oils and primary derivatives thereof,4.260315245,13.42785406
A03GN,"Coffee ground, roasted","Coffee, cocoa, tea and infusions",0.572037013,0.398128648
A03GQ,Instant coffee powder,"Coffee, cocoa, tea and infusions",0.572037013,0.398128648
A03HG,Cocoa powder,"Coffee, cocoa, tea and infusions",16.07238784,22.1578315
A03HH,"Cocoa beverage-preparation, powder","Coffee, cocoa, tea and infusions",16.07238784,22.1578315
A03HX,Tea powder ingredients and extracts,"Coffee, cocoa, tea and infusions",0.718135968,0.183297842
A03KA,Coffee beverages,"Coffee, cocoa, tea and infusions",0.572037013,0.398128648
A03KB,Coffee espresso type (strong) beverage,"Coffee, cocoa, tea and infusions",0.713395898,0.557380108
A03KC,Coffee (average strenght) beverage,"Coffee, cocoa, tea and infusions",0.572037013,0.398128648
A03KD,Coffee (weak strenght) beverage,"Coffee, cocoa, tea and infusions",0.430678128,0.238877189
A03KE,Instant coffee (beverage),"Coffee, cocoa, tea and infusions",0.572037013,0.398128648
A03KF,Coffee beverage decaffeinated,"Coffee, cocoa, tea and infusions",0.572037013,0.398128648
A03KG,Coffee with milk or cream,"Coffee, cocoa, tea and infusions",2.000791511,1.622178186
A03KZ,Hot chocolate,"Coffee, cocoa, tea and infusions",3.004688415,3.113842428
A03LB,Tea beverages,"Coffee, cocoa, tea and infusions",0.699026212,0.122198561
A03LC,"Tea infusion (black, white)","Coffee, cocoa, tea and infusions",0.699026212,0.122198561
A03LD,"Green tea, infusion","Coffee, cocoa, tea and infusions",0.781299312,0.122198561
A03LF,Tea infusion with added flavouring ingredients,"Coffee, cocoa, tea and infusions",0.699026212,0.122198561
A03LG,Herbal and other non-tea infusions,"Coffee, cocoa, tea and infusions",0.7430798,0
A03LH,Camomile infusion,"Coffee, cocoa, tea and infusions",0.800409068,0.183297842
A0C6B,Cocoa ingredients (RPC derivatives),"Coffee, cocoa, tea and infusions",16.23401494,22.1578315
A0F2E,"Coffee beverage-preparation, powder","Coffee, cocoa, tea and infusions",0.572037013,0.398128648
A02MV,Buttermilk,Milk and dairy products,1.590514957,1.460674157
A01RG,Pig muscle,Meat and meat products,12.10137371,18.90909091
A01VA,Pig fat tissue,Meat and meat products,12.10137371,18.90909091
A01XJ,Pig liver,Meat and meat products,12.10137371,18.90909091
A01YM,Pig kidney,Meat and meat products,12.10137371,18.90909091
A03VV,Meat based dishes,Composite dishes,17.64891933,25.93212803
A03VX,Goulash,Composite dishes,17.64891933,25.93212803
A03VY,Meat stew,Composite dishes,17.64891933,25.93212803
A03VZ,Meat in aspic,Composite dishes,17.64891933,25.93212803
A03XA,Meat loaf,Composite dishes,17.64891933,25.93212803
A03XP,Prepared fish salad,Composite dishes,5.888871357,6.888101912
A03XV,Fish pâté,Composite dishes,5.888871357,6.888101912
A03YJ,Egg based dishes,Composite dishes,2.492950337,5.622188906
A03YZ,Sandwich and sandwich-like dishes,Composite dishes,0.966228073,3.309167813
A03ZK,Hot dog with bread,Composite dishes,8.073966972,13.06374171
A03ZL,Hamburger with bread,Composite dishes,17.37142386,29.50734457
A03ZN,Pizza and pizza-like dishes,Composite dishes,5.561591525,8.010683107
A03ZS,Pizza and similar with vegetable topping,Composite dishes,5.561591525,8.010683107
A03ZT,"Pizza and similar with cheese, and vegetables",Composite dishes,5.561591525,8.010683107
A040Y,"Pasta, with mixed or unspecfied filling, cooked",Composite dishes,0.845287527,1.175288814
A041E,Rice pudding,Composite dishes,1.172918592,0.777306519
A041T,Meat soup,Composite dishes,6.115171388,9.397461163
A036T,Seed oils,Animal and vegetable fats and oils and primary derivatives thereof,3.110744146,10.6822371
A037A,Peanut oil,Animal and vegetable fats and oils and primary derivatives thereof,3.478467442,13.53016109
A042M,Prepared mixed egg/meat/fish/vegetable salad,Composite dishes,6.909902014,11.59150954
A0B9J,Soups (dry mixture uncooked),Composite dishes,6.525400762,10.08508027
A01ZP,Pig edible offals (other than liver and kidney),Meat and meat products,12.10137371,18.90909091
A021A,Pig other slaughtering products,Meat and meat products,12.10137371,18.90909091
A0BZB,"Meat soup, clear",Composite dishes,6.525400762,10.08508027
A0BZ8,"Mixed vegetables soup, clear",Composite dishes,6.321469402,10.08508027
A0CDQ,"Pasta, plain (not stuffed), cooked",Composite dishes,0.845287527,1.175288814
A031G,Hen eggs,Eggs and egg products,1.903757509,5.576086957
A032A,Hardened egg products,Eggs and egg products,2.212061857,5.869565217
A032B,Boiled eggs,Eggs and egg products,2.1359749,5.625
A032C,Fried eggs,Eggs and egg products,2.3839749,5.625
A032D,Poached eggs,Eggs and egg products,2.1359749,5.625
A031S,Hen egg yolk,Eggs and egg products,4.924409683,15.28532609
A031T,Hen egg white,Eggs and egg products,2.935773319,8.893280632
A031X,"Hen egg mixed whole, dried",Eggs and egg products,7.449567903,22.54497751
A031Y,"Hen egg yolk, dried",Eggs and egg products,19.50486838,61.29415761
A031Z,"Hen egg white, dried",Eggs and egg products,11.53043656,35.66205534
A0F6F,Egg yolk,Eggs and egg products,4.924409683,15.28532609
A031F,Whole eggs,Eggs and egg products,1.903757509,5.576086957
A02DD,Anchovies,"Fish, seafood, amphibians, reptiles and invertebrates",2.357693497,0
A02BJ,Anglerfish and monkfish,"Fish, seafood, amphibians, reptiles and invertebrates",16.95093852,0
A028P,Atlantic salmon,"Fish, seafood, amphibians, reptiles and invertebrates",4.648680212,3.457446809
A0FCY,Blue mussel,"Fish, seafood, amphibians, reptiles and invertebrates",46.33065773,14.03922872
A029J,Brown trout,"Fish, seafood, amphibians, reptiles and invertebrates",5.824343763,6.195599613
A0FCA,Canned anchovies,"Fish, seafood, amphibians, reptiles and invertebrates",3.462943497,0
A0FBZ,Canned sardines,"Fish, seafood, amphibians, reptiles and invertebrates",3.546860885,0
A0FBY,Canned sprats,"Fish, seafood, amphibians, reptiles and invertebrates",3.682403937,0
A0FBT,Canned tunas and similar,"Fish, seafood, amphibians, reptiles and invertebrates",7.931442546,0
A0EYR,Canned/jarred fish,"Fish, seafood, amphibians, reptiles and invertebrates",12.72684992,1.368819258
A027D,"Carp, common","Fish, seafood, amphibians, reptiles and invertebrates",16.75996794,4.433523591
A027C,Carps,"Fish, seafood, amphibians, reptiles and invertebrates",16.75996794,4.433523591
A02HA,Clams,"Fish, seafood, amphibians, reptiles and invertebrates",46.33065773,14.03922872
A02BV,Cod,"Fish, seafood, amphibians, reptiles and invertebrates",5.153078208,0
A02EP,Cod roe,"Fish, seafood, amphibians, reptiles and invertebrates",5.488593756,0
A02BT,"Cods, hakes, haddocks","Fish, seafood, amphibians, reptiles and invertebrates",5.153078208,0
A02JB,"Cuttlefish, common","Fish, seafood, amphibians, reptiles and invertebrates",7.492794456,0
A0FCP,Edible crab,"Fish, seafood, amphibians, reptiles and invertebrates",13.52003426,1.962765957
A026V,Fish (meat),"Fish, seafood, amphibians, reptiles and invertebrates",11.62159992,1.368819258
A02KC,"Fish fingers, breaded","Fish, seafood, amphibians, reptiles and invertebrates",5.324366952,0
A02KE,Fish paste or surimi,"Fish, seafood, amphibians, reptiles and invertebrates",16.10984514,2.380762411
A026T,"Fish, seafood, amphibians, reptiles and invertebrates","Fish, seafood, amphibians, reptiles and invertebrates",11.62159992,1.368819258
A02FG,Freshwater crayfishes,"Fish, seafood, amphibians, reptiles and invertebrates",14.42083805,2.108156028
A0FAR,Gilthead seabream,"Fish, seafood, amphibians, reptiles and invertebrates",14.06507047,0
A0FAS,Groupers,"Fish, seafood, amphibians, reptiles and invertebrates",14.06507047,0
A02CA,Haddock,"Fish, seafood, amphibians, reptiles and invertebrates",5.153078208,0
A02CB,Hakes,"Fish, seafood, amphibians, reptiles and invertebrates",11.42525605,0
A02BA,"Halibut, greenland","Fish, seafood, amphibians, reptiles and invertebrates",7.44887677,0
A02AY,Halibut,"Fish, seafood, amphibians, reptiles and invertebrates",7.44887677,0
A02DF,"Herring, atlantic","Fish, seafood, amphibians, reptiles and invertebrates",3.684088857,0
A02DE,Herrings,"Fish, seafood, amphibians, reptiles and invertebrates",3.684088857,0
A02CC,Ling,"Fish, seafood, amphibians, reptiles and invertebrates",5.48362532,0
A02FR,"Lobster, european","Fish, seafood, amphibians, reptiles and invertebrates",74.88941836,0
A02FP,Lobsters,"Fish, seafood, amphibians, reptiles and invertebrates",74.88941836,0
A02CT,Mackerel,"Fish, seafood, amphibians, reptiles and invertebrates",2.664533679,0
A02CV,"Mackerel, atlantic","Fish, seafood, amphibians, reptiles and invertebrates",2.664533679,0
A0F0P,Marinated / pickled fish,"Fish, seafood, amphibians, reptiles and invertebrates",19.71350323,2.300711408
A029R,Marine fish,"Fish, seafood, amphibians, reptiles and invertebrates",9.841820528,0
A02AD,Mullets,"Fish, seafood, amphibians, reptiles and invertebrates",9.274013408,0
A02HF,Mussels,"Fish, seafood, amphibians, reptiles and invertebrates",46.33065773,14.03922872
A02JE,"Octopus, common","Fish, seafood, amphibians, reptiles and invertebrates",11.26455461,0
A02HM,"Oyster, pacific cupped","Fish, seafood, amphibians, reptiles and invertebrates",65.80559515,20.04458698
A027N,Perch,"Fish, seafood, amphibians, reptiles and invertebrates",16.75882152,0
A02BC,Plaice,"Fish, seafood, amphibians, reptiles and invertebrates",7.44887677,0
A029N,Rainbow trout,"Fish, seafood, amphibians, reptiles and invertebrates",9.58522384,6.195599613
A02DQ,Rays,"Fish, seafood, amphibians, reptiles and invertebrates",8.375825689,0
A028G,River eels,"Fish, seafood, amphibians, reptiles and invertebrates",6.876782016,0
A0C75,Salmons,"Fish, seafood, amphibians, reptiles and invertebrates",4.648680212,3.457446809
A0FCB,Salted cod,"Fish, seafood, amphibians, reptiles and invertebrates",5.153078208,0
A02DA,Sardines and sardine-type fishes,"Fish, seafood, amphibians, reptiles and invertebrates",2.441610885,0
A02HN,"Scallops, pectens","Fish, seafood, amphibians, reptiles and invertebrates",56.08844381,17.03789894
A029T,Sea bass,"Fish, seafood, amphibians, reptiles and invertebrates",29.28162431,6.815159574
A029V,Sea bream,"Fish, seafood, amphibians, reptiles and invertebrates",14.06507047,0
A02FX,Shrimps and prawns,"Fish, seafood, amphibians, reptiles and invertebrates",15.9759495,2.380762411
A02GB,"Shrimps, common","Fish, seafood, amphibians, reptiles and invertebrates",15.9759495,2.380762411
A0EYS,Smoked fish,"Fish, seafood, amphibians, reptiles and invertebrates",17.52454202,2.156164095
A02KG,Smoked herring,"Fish, seafood, amphibians, reptiles and invertebrates",5.256370181,0
A02KF,Smoked salmon,"Fish, seafood, amphibians, reptiles and invertebrates",5.960980879,4.760638298
A02LK,Snails,"Fish, seafood, amphibians, reptiles and invertebrates",11.64457239,0
A02BF,Sole,"Fish, seafood, amphibians, reptiles and invertebrates",4.685682518,0
A02FV,Spiny and rock lobsters,"Fish, seafood, amphibians, reptiles and invertebrates",74.88941836,0
A02DP,Spiny dogfish,"Fish, seafood, amphibians, reptiles and invertebrates",8.019541129,0
A02JJ,"Squid, common","Fish, seafood, amphibians, reptiles and invertebrates",7.993623414,0
A02JH,Squids,"Fish, seafood, amphibians, reptiles and invertebrates",7.993623414,0
A07Y0,Swordfish,"Fish, seafood, amphibians, reptiles and invertebrates",16.85270054,0
A029F,Trouts,"Fish, seafood, amphibians, reptiles and invertebrates",5.824343763,6.195599613
A02DX,Tuna,"Fish, seafood, amphibians, reptiles and invertebrates",6.826192546,0
A02CG,Whiting,"Fish, seafood, amphibians, reptiles and invertebrates",3.490310001,0
A03RJ,Ready-to-eat fruit-based meal for children,Food products for young population,1.894027594,0
A0DZB,"Oranges, sweet",Fruit and fruit products,0.738421558,0.550200803
A01DL,Loquats,Fruit and fruit products,0.718496759,0.325301205
A035K,Gum drops,"Sugar and similar, confectionery and water-based sweet desserts",0.767784082,1.160147313
A035L,Jelly candies,"Sugar and similar, confectionery and water-based sweet desserts",0.767784082,1.160147313
A01BY,Lemons,Fruit and fruit products,0.488155285,0.615434712
A01EP,Raspberries (red and yellow),Fruit and fruit products,0.712172486,0.307926829
A01CB,Mandarins and similar-,Fruit and fruit products,0.460305146,0.599412576
A01CD,Mandarins,Fruit and fruit products,0.460305146,0.599412576
A01CH,Tangerines,Fruit and fruit products,0.777700579,1.180722892
A01CR,Oranges,Fruit and fruit products,0.738421558,0.550200803
A01FF,Bilberries,Fruit and fruit products,0.715501754,0.317073171
A01DH,Apples and similar-,Fruit and fruit products,0.74261724,0.391566265
A01DJ,Apples,Fruit and fruit products,0.74261724,0.391566265
A01GG,Cherries and similar-,Fruit and fruit products,0.180929335,0.332317073
A01DN,Pears and similar-,Fruit and fruit products,0.243760038,0.277458381
A01DP,Pears,Fruit and fruit products,0.243760038,0.277458381
A01GH,Sour cherries,Fruit and fruit products,0.180929335,0.332317073
A035M,Chewing gum,"Sugar and similar, confectionery and water-based sweet desserts",0.767784082,1.160147313
A0EQQ,Candies (soft and hard),"Sugar and similar, confectionery and water-based sweet desserts",0.767784082,1.160147313
A01DZ,Strawberries and similar-,Fruit and fruit products,0.51062147,0.287262873
A01EA,Strawberries,Fruit and fruit products,0.51062147,0.287262873
A01GK,Cherries (sweet),Fruit and fruit products,0.180929335,0.332317073
A01GQ,Plums,Fruit and fruit products,0.184303787,0.319277108
A015L,Sunflower seeds,"Legumes, nuts, oilseeds and spices",1.077138746,6.571545408
A039G,Shortening and similar baking fats,Animal and vegetable fats and oils and primary derivatives thereof,3.424872306,17.85736916
A037D,"Sunflower seed oil, edible",Animal and vegetable fats and oils and primary derivatives thereof,3.424872306,17.85736916
A01GF,Apricots,Fruit and fruit products,0.535350023,0.684844642
A01GR,Damsons,Fruit and fruit products,0.184303787,0.319277108
A01GS,Mirabelles,Fruit and fruit products,0.184303787,0.319277108
A01GX,Gages,Fruit and fruit products,0.716303987,0.319277108
A01GL,Peaches and similar-,Fruit and fruit products,0.323483514,0.569550931
A01GM,Common peaches,Fruit and fruit products,0.323483514,0.569550931
A0CFN,"Gooseberries (green, red and yellow)",Fruit and fruit products,0.715501754,0.317073171
A01JV,Litchis,Fruit and fruit products,0.255271466,0.503012048
A01KC,Passionfruits,Fruit and fruit products,0.212512429,0.385542169
A01FH,Cranberries,Fruit and fruit products,0.173708022,0.31097561
A0CFR,Rose hips,Fruit and fruit products,0.181476315,0.332317073
A01JT,"Kiwi fruits (green, red, yellow)",Fruit and fruit products,0.748867518,0.423512231
A01LB,Avocados,Fruit and fruit products,1.340467605,1.626506024
A01LC,Cavendishes,Fruit and fruit products,0.684501853,0.569550931
A01EY,Blueberries,Fruit and fruit products,0.71661151,0.320121951
A01LP,Pineapples,Fruit and fruit products,0.466783831,0.274586719
A0DVR,Black cherries,Fruit and fruit products,0.180929335,0.332317073
A01DT,Berries and small fruits,Fruit and fruit products,0.71661151,0.320121951
A01MD,Dried apricots,Fruit and fruit products,2.487880144,3.462270133
A039J,Blended frying oil/fats,Animal and vegetable fats and oils and primary derivatives thereof,3.518769726,17.85736916
A01EE,Blackberries,Fruit and fruit products,0.715501754,0.317073171
A01FQ,Gooseberries and similar-,Fruit and fruit products,0.715501754,0.317073171
A01MJ,Dried bananas,Fruit and fruit products,2.104068118,2.205184374
A01MM,Jam of fruit / vegetables,Fruit and fruit products,2.435399826,1.058615541
A01MN,"Jam, strawberries",Fruit and fruit products,1.565706517,0.911081652
A01NA,"Jam, apricots",Fruit and fruit products,1.576971643,1.184245116
A01NB,"Jam, plums",Fruit and fruit products,1.34236181,0.925161109
A01NF,"Jam, oranges",Fruit and fruit products,1.996059856,1.088820708
A01NJ,Marmalade,Fruit and fruit products,1.996059856,1.088820708
A0DSM,Black mulberries,Fruit and fruit products,0.715501754,0.317073171
A01NP,Canned or jarred mandarin,Fruit and fruit products,1.101842915,0.62976258
A01NS,Canned or jarred apricot,Fruit and fruit products,1.184693691,0.71952032
A01HG,Figs,Fruit and fruit products,0.509683253,0.634115409
A01HQ,Kaki,Fruit and fruit products,0.584750725,0.75511591
A01NY,Canned or jarred peach,Fruit and fruit products,0.961265797,0.598388953
A01PB,Canned or jarred pineapple,Fruit and fruit products,1.268043884,0.480816407
A01HP,Kaki and similar-,Fruit and fruit products,0.584750725,0.75511591
A01LF,Mangoes,Fruit and fruit products,1.43825879,1.746987952
A01QK,Canned fruit cocktail,Fruit and fruit products,1.725016649,0.752697942
A01LG,Papayas,Fruit and fruit products,1.474211225,1.795180723
A04RK,Fruit used as fruit,Fruit and fruit products,0.975928146,0.507581312
A01FM,"Currants (black, red and white)",Fruit and fruit products,1.268962548,1.882439024
A01FN,Blackcurrants,Fruit and fruit products,1.268962548,1.882439024
A01FP,Redcurrants,Fruit and fruit products,1.268962548,1.882439024
A01ND,"Jam, sweet cherry",Fruit and fruit products,1.337826665,0.945797912
A01PF,"Fruit compote, apple",Fruit and fruit products,1.603319609,0.443037975
A01NR,Canned or jarred pear,Fruit and fruit products,0.873439592,0.291506907
A039M,"Juice, apple",Fruit and vegetable juices and nectars (including concentrates),0.98488384,0.451807229
A03AH,"Juice, lemon",Fruit and vegetable juices and nectars (including concentrates),0.985409837,1.058287203
A03AM,"Juice, orange",Fruit and vegetable juices and nectars (including concentrates),1.14700141,0.803212851
A0BX9,Fruit and vegetable juices and nectars ,Fruit and vegetable juices and nectars (including concentrates),1.440563703,0.837509165
A0BY4,Fruit juices (100% from named source),Fruit and vegetable juices and nectars (including concentrates),1.440563703,0.837509165
A03AP,"Juice, mixed fruit",Fruit and vegetable juices and nectars (including concentrates),1.440563703,0.837509165
A03AL,"Juice, grapefruit",Fruit and vegetable juices and nectars (including concentrates),1.286982126,0.903614458
A03BB,Fruit nectars (min. 25-50% fruit as defined in EU legislation),Fruit and vegetable juices and nectars (including concentrates),1.440563703,0.837509165
A03DB,Mixed fruit and vegetable juices,Fruit and vegetable juices and nectars (including concentrates),1.440563703,0.837509165
A03DH,Multivitamin juices,Fruit and vegetable juices and nectars (including concentrates),1.440563703,0.837509165
A03AF,"Juice, pineapple",Fruit and vegetable juices and nectars (including concentrates),0.677541997,0.263379098
A04SD,Blended fat and oils,Animal and vegetable fats and oils and primary derivatives thereof,4.343390405,13.42785406
A03BL,Mixed fruit nectars,Fruit and vegetable juices and nectars (including concentrates),1.440563703,0.837509165
A03BG,"Nectar, orange",Fruit and vegetable juices and nectars (including concentrates),1.14700141,0.803212851
A03BC,"Nectar, apricot",Fruit and vegetable juices and nectars (including concentrates),1.000869635,1.033608117
A03BH,"Nectar, peach",Fruit and vegetable juices and nectars (including concentrates),0.687412764,0.892661555
A03BN,Fruit juice concentrates,Fruit and vegetable juices and nectars (including concentrates),1.285529279,0.628131874
A01BK,Coconut milk (cocos nucifera) liquid,Fruit and vegetable juices and nectars (including concentrates),0.837907558,0.142600292
A039Y,"Juice, mango",Fruit and vegetable juices and nectars (including concentrates),1.705645872,1.807228916
A03AJ,"Juice, lime",Fruit and vegetable juices and nectars (including concentrates),0.985409837,1.058287203
A03BJ,"Nectar, pear",Fruit and vegetable juices and nectars (including concentrates),0.496802541,0.374943758
A00RX,Cardoons,Vegetables and vegetable products,0.890865252,4.600081785
A037N,Palm oil/fat,Animal and vegetable fats and oils and primary derivatives thereof,8.538625814,2.768760162
A0F4S,Coconut water,Fruit and vegetable juices and nectars (including concentrates),1.344376901,2.690571553
A001B,Common millet grain,Grains and grain-based products,0.642646102,1.279885322
A001D,Rice grain,Grains and grain-based products,1.062186903,0.789111727
A002K,"Barley grain, pearled",Grains and grain-based products,0.432917936,1.29104109
A00RS,Globe artichokes,Vegetables and vegetable products,0.890865252,4.600081785
A003Y,Wheat flour white,Grains and grain-based products,0.568187775,3.379180413
A003X,Wheat flour,Grains and grain-based products,0.568187775,3.379180413
A004F,Wheat semolina,Grains and grain-based products,0.343841977,1.92699613
A004Q,Wheat germ,Grains and grain-based products,0.770146625,4.686454588
A004B,Wheat wholemeal flour,Grains and grain-based products,0.500064769,2.938222035
A004X,Wheat bread and rolls,Grains and grain-based products,0.966228073,3.309167813
A005D,"Wheat bread and rolls, semi-brown",Grains and grain-based products,0.919236156,3.004990409
A005N,"Rye-wheat bread, refined flour",Grains and grain-based products,0.971040069,4.287800132
A0BB2,Sandwich bread (hamburger roll-type),Grains and grain-based products,0.966228073,3.309167813
A0BY0,Leavened bread and similar,Grains and grain-based products,0.966228073,3.309167813
A006M,Rusk,Grains and grain-based products,0.966228073,3.309167813
A006N,"Rusk, refined flour",Grains and grain-based products,0.966228073,3.309167813
A006P,"Rusk, wholemeal",Grains and grain-based products,0.919236156,3.004990409
A00BZ,Fruit pie-tarts,Grains and grain-based products,2.261954932,4.000811927
A008C,Couscous,Grains and grain-based products,0.118947726,0.431647133
A00CL,Pancakes,Grains and grain-based products,2.647353656,3.878649986
A00AN,Cakes,Grains and grain-based products,12.42830087,14.16919177
