FoodEx2,Food item,L1,GHGE of 1 kg food as consumed_kgCO2eq,Land use of 1 kg food as consumed_m2/yr
A00BG,Chocolate cake,Grains and grain-based products,12.42830087,14.16919177
A00BX,Flan tart,Grains and grain-based products,12.42830087,14.16919177
A00CE,"Puff-pastry croissant, filled with chocolate",Grains and grain-based products,21.96033657,23.10584357
A00CD,Croissant from puff pastry,Grains and grain-based products,21.96033657,23.10584357
A00BV,Shortcrust (pies -tarts),Grains and grain-based products,3.124079646,9.129453808
A00AA,"Biscuits, sweet, wheat wholemeal",Grains and grain-based products,3.124079646,9.129453808
A00AE,"Biscuit with inclusions, filling or coating",Grains and grain-based products,3.124079646,9.129453808
A00AP,Plain cakes,Grains and grain-based products,12.42830087,14.16919177
A001P,Durum wheat grain,Grains and grain-based products,0.797516103,0.866065676
A009T,Fine bakery wares,Grains and grain-based products,12.42830087,14.16919177
A02NF,"Yoghurt, cow milk",Milk and dairy products,1.722620237,1.460674157
A001E,"Rice grain, brown",Grains and grain-based products,0.990062382,0.723882734
A00AY,Cream custard sponge cake,Grains and grain-based products,12.42830087,14.16919177
A009V,Biscuits,Grains and grain-based products,3.124079646,9.129453808
A02NS,Acidophilus milk,Milk and dairy products,1.585870237,1.460674157
A00AJ,Beignets,Grains and grain-based products,2.558754217,6.154685692
A00AG,Choux pastry,Grains and grain-based products,2.360354217,6.154685692
A0ETL,Semolina,Grains and grain-based products,0.560841977,1.92699613
A00AH,Éclair,Grains and grain-based products,2.360354217,6.154685692
A00EF,Processed wheat-based flakes,Grains and grain-based products,0.440071145,0.824190345
A009Z,"Biscuits, chocolate",Grains and grain-based products,3.124079646,9.129453808
A02NV,Kefir,Milk and dairy products,1.722620237,1.460674157
A00CF,Apple strudel,Grains and grain-based products,2.608496102,4.77874758
A04NS,Other desserts spoonable,Milk and dairy products,2.127821614,1.653661338
A009Y,Butter biscuits,Grains and grain-based products,3.124079646,9.129453808
A02PV,Dairy desserts spoonable,Milk and dairy products,2.127821614,1.653661338
A00CQ,Waffles,Grains and grain-based products,10.14146614,12.97347687
A02PX,Custard,Milk and dairy products,2.127821614,1.653661338
A021B,Pig tongue,Meat and meat products,12.10137371,18.90909091
A00AK,Profiterole,Grains and grain-based products,2.360354217,6.154685692
A006Q,"Pizza base, cooked",Grains and grain-based products,0.966228073,3.309167813
A004Y,"Wheat bread and rolls, white (refined flour)",Grains and grain-based products,0.966228073,3.309167813
A00DR,"Rice, popped",Grains and grain-based products,1.111786903,0.789111727
A00DS,Processed rice-based flakes,Grains and grain-based products,1.111786903,0.789111727
A003D,"Rice grain, polished",Grains and grain-based products,1.062186903,0.789111727
A005E,"Wheat bread and rolls, brown or wholemeal",Grains and grain-based products,0.919236156,3.004990409
A005Y,Crackers and breadsticks,Grains and grain-based products,0.966228073,3.309167813
A006D,Wheat crisp bread,Grains and grain-based products,0.966228073,3.309167813
A007G,Fresh egg pasta,Grains and grain-based products,0.456299693,1.250296753
A007J,Fresh durum pasta,Grains and grain-based products,0.83166988,1.087142153
A007L,Dried pasta,Grains and grain-based products,0.456299693,1.250296753
A007M,Dried egg pasta,Grains and grain-based products,0.456299693,1.250296753
A007P,Dried durum pasta,Grains and grain-based products,0.83166988,1.087142153
A007V,Fresh stuffed egg pasta,Grains and grain-based products,0.456299693,1.250296753
A04LC,Pasta wholemeal,Grains and grain-based products,0.43109418,1.087142153
A007A,Breadcrumbs,Grains and grain-based products,0.966228073,3.309167813
A009M,Common laminated dough,Grains and grain-based products,21.96033657,23.10584357
A008H,Yeast leavened bread doughs,Grains and grain-based products,0.981080002,3.384376173
A00AQ,Sponge cake,Grains and grain-based products,12.42830087,14.16919177
A00AV,Cream cake,Grains and grain-based products,12.42830087,14.16919177
A00BA,Fruit cake,Grains and grain-based products,12.42830087,14.16919177
A00BB,Sponge cake roll,Grains and grain-based products,12.42830087,14.16919177
A00BK,Yeast leavened pastry,Grains and grain-based products,21.96033657,23.10584357
A009X,"Biscuits, sweet, plain",Grains and grain-based products,3.124079646,9.129453808
A00BM,Croissant,Grains and grain-based products,21.96033657,23.10584357
A00BL,Buns,Grains and grain-based products,0.966228073,3.309167813
A00BR,Doughnuts-berliner,Grains and grain-based products,2.957222234,5.260877916
A00CC,Puff pastry,Grains and grain-based products,21.96033657,23.10584357
A00BT,Brioche type products,Grains and grain-based products,0.966228073,3.309167813
A00CK,"Dumpling, sweet",Grains and grain-based products,0.856539632,3.519979597
A02QD,Milkshakes,Milk and dairy products,2.292994291,2.096178286
A02NE,Yoghurt,Milk and dairy products,1.730669117,1.460674157
A003E,"Rice grain, parboiled",Grains and grain-based products,1.062186903,0.789111727
A02NG,"Yoghurt, cow milk, plain",Milk and dairy products,1.730669117,1.460674157
A02NH,"Yoghurt, cow milk, flavoured",Milk and dairy products,1.730669117,1.460674157
A00CT,Gingerbread,Grains and grain-based products,0.966228073,3.309167813
A00FG,"Sticks, salty",Grains and grain-based products,0.892792728,3.754644904
A0BYR,Wafers,Grains and grain-based products,8.960588893,11.38782969
A0CSK,Pre-mixes (dry) for baked products,Grains and grain-based products,0.568187775,3.379180413
A0F4Q,Extruded breakfast cereal products,Grains and grain-based products,0.440071145,0.824190345
A02NQ,"Yoghurt drinks, sweetened and/or flavoured",Milk and dairy products,1.730669117,1.460674157
A02PA,Filmjölk,Milk and dairy products,1.730669117,1.460674157
A005F,Rye only bread and rolls,Grains and grain-based products,0.971040069,4.287800132
A007B,Croutons,Grains and grain-based products,0.966228073,3.309167813
A0C69,Fermented milk products,Milk and dairy products,1.593919117,1.460674157
A000P,Barley grains,Grains and grain-based products,0.432917936,1.29104109
A00FE,Corn curls,Composite dishes,1.855521043,2.728652839
A005M,Mixed wheat and rye bread and rolls,Grains and grain-based products,0.971040069,4.287800132
A005Q,Multigrain (not only rye-wheat) bread and rolls,Grains and grain-based products,0.971040069,4.287800132
A00EE,"Wheat, popped",Grains and grain-based products,0.370830766,0.375999245
A006B,"Crisp bread, rye wholemeal",Grains and grain-based products,0.971040069,4.287800132
A006C,"Crisp bread, rye, refined flour",Grains and grain-based products,0.971040069,4.287800132
A00BC,Muffins,Grains and grain-based products,12.42830087,14.16919177
A006E,"Crisp bread, wheat, wholemeal",Grains and grain-based products,0.919236156,3.004990409
A005G,"Rye bread, refined flour",Grains and grain-based products,0.971040069,4.287800132
A005H,"Rye bread, wholemeal",Grains and grain-based products,0.971040069,4.287800132
A021C,Pig heart,Meat and meat products,12.10137371,18.90909091
A021G,Pig trotters and feet,Meat and meat products,12.10137371,18.90909091
A023A,Cured pork fat,Meat and meat products,10.24531311,15.80681818
A023H,Cooked cured or seasoned pork meat,Meat and meat products,10.24531311,15.80681818
A042B,Salads,Composite dishes,7.1868843,12.43966878
A023K,Cooked pork ham,Meat and meat products,10.24531311,15.80681818
A024C,Canned meat,Meat and meat products,11.35056311,15.80681818
A024D,Luncheon spiced ham-type tinned meat,Meat and meat products,11.35056311,15.80681818
A024S,Teewurst-type sausage,Meat and meat products,12.10137371,18.90909091
A024X,Salami-type sausage,Meat and meat products,12.10137371,18.90909091
A025B,Pepperoni/paprika-type sausage,Meat and meat products,12.10137371,18.90909091
A025G,Knackwurst-type sausage,Meat and meat products,12.10137371,18.90909091
A025L,Liver-type sausage,Meat and meat products,12.10137371,18.90909091
A025N,Sliceable or firm cooked sausages,Meat and meat products,12.10137371,18.90909091
A025P,Polish-type cooked sausage,Meat and meat products,12.10137371,18.90909091
A025S,Blood-type sausage,Meat and meat products,12.10137371,18.90909091
A014F,Almonds sweet,"Legumes, nuts, oilseeds and spices",3.602792424,12.8194281
A014H,Cashew nuts,"Legumes, nuts, oilseeds and spices",4.320136741,32.22996516
A014J,Chestnuts,"Legumes, nuts, oilseeds and spices",1.957120348,6.621665826
A014K,Coconuts,"Legumes, nuts, oilseeds and spices",1.642001234,4.538972336
A014L,Hazelnuts,"Legumes, nuts, oilseeds and spices",1.873472648,6.621665826
A014Q,Pistachios,"Legumes, nuts, oilseeds and spices",5.567220227,17.7383592
A014R,Walnuts,"Legumes, nuts, oilseeds and spices",2.119348489,7.725276797
A015H,Peanuts,"Legumes, nuts, oilseeds and spices",1.224693756,8.305097633
A042D,Mixed vegetable salad,Composite dishes,7.1868843,12.43966878
A03CK,"Juice, carrot",Fruit and vegetable juices and nectars (including concentrates),0.380423783,0.237152476
A025V,Cooked salami,Meat and meat products,12.10137371,18.90909091
A025X,Weisswurst,Meat and meat products,12.10137371,18.90909091
A025Z,Head cheese,Meat and meat products,12.10137371,18.90909091
A006F,"Crisp bread, wheat, refined flour",Grains and grain-based products,0.966228073,3.309167813
A0F0N,Dried nuts and related flours and powderes,"Legumes, nuts, oilseeds and spices",1.810375679,8.720352515
A01BR,"Olives, processed",Fruit and fruit products,1.235755768,2.524106636
A015X,Pumpkin seeds,"Legumes, nuts, oilseeds and spices",0.514382731,0.470854129
A01QX,"Cow, ox or bull fresh meat",Meat and meat products,34.04164267,58.86994949
A01QY,Calf fresh meat,Meat and meat products,34.04164267,58.86994949
A026C,Frankfurter sausage,Meat and meat products,12.10137371,18.90909091
A02NN,"Yoghurt, goat milk, plain",Milk and dairy products,3.191343275,3.262172285
A02MB,Goat milk,Milk and dairy products,3.046544395,3.262172285
A00DD,Processed maize-based flakes,Grains and grain-based products,0.667230451,0.51352244
A026D,Wiener sausage,Meat and meat products,12.10137371,18.90909091
A026L,Meat spread,Meat and meat products,12.10137371,18.90909091
A026R,"Pate, pork liver",Meat and meat products,12.10137371,18.90909091
A0EYF,Mammals meat,Meat and meat products,23.41450503,39.5959596
A0EYP,Preserved or partly preserved sausages,Meat and meat products,12.10137371,18.90909091
A024F,Sausages,Meat and meat products,12.10137371,18.90909091
A01XG,Beef liver,Meat and meat products,34.04164267,58.86994949
A022T,"Ham, pork",Meat and meat products,10.24531311,15.80681818
A024G,Fresh raw sausages,Meat and meat products,12.10137371,18.90909091
A0EYH,Mammals and birds meat,Meat and meat products,18.56602018,31.35353535
A024J,Fresh spiced sausages in casing,Meat and meat products,12.10137371,18.90909091
A01QR,Meat and meat products,Meat and meat products,18.56602018,31.35353535
A020V,Bovine stomach,Meat and meat products,34.04164267,58.86994949
A026A,Pre-cooked sausages to be cooked before consumption,Meat and meat products,12.10137371,18.90909091
A024M,Chipolata-type sausage,Meat and meat products,12.10137371,18.90909091
A024R,Mettwurst-type sausage,Meat and meat products,12.10137371,18.90909091
A025C,Chorizo and similar,Meat and meat products,12.10137371,18.90909091
A026M,Liver based spreadable-textured specialities,Meat and meat products,12.10137371,18.90909091
A026H,Cervelat (swiss type),Meat and meat products,12.10137371,18.90909091
A022X,Bacon,Meat and meat products,10.24531311,15.80681818
A025E,Snack sausages (like Cabanos and landjäger),Meat and meat products,12.10137371,18.90909091
A01YG,Animal kidney,Meat and meat products,12.10137371,18.90909091
A025Q,Mortadella-type sausage,Meat and meat products,12.10137371,18.90909091
A022S,Cured seasoned pork meat,Meat and meat products,10.24531311,15.80681818
A022V,Tiroler speck,Meat and meat products,12.10137371,18.90909091
A022Y,Pancetta,Meat and meat products,12.10137371,18.90909091
A024Y,Italian-type salami,Meat and meat products,12.10137371,18.90909091
A011L,Potato crisps or sticks,Composite dishes,0.928962921,0.43902439
A011S,Potato croquettes,Composite dishes,1.567499506,1.631436314
A03VG,Prepared potato salad,Composite dishes,7.22051766,12.43966878
A0BYS,Potato crisps from potato slices,Composite dishes,1.164060482,0.87804878
A0BYV,French fries from cut potato,Composite dishes,1.173884122,0.896393579
A008D,Gnocchi,Grains and grain-based products,0.48186536,0.379084967
A00ZT,Potatoes,"Starchy roots or tubers and products thereof, sugar plants",0.503206926,0.388219545
A00ZX,Main-crop potatoes,"Starchy roots or tubers and products thereof, sugar plants",0.503206926,0.388219545
A011D,Potato flakes,"Starchy roots or tubers and products thereof, sugar plants",1.497990059,1.609103079
A011E,Mashed potato powder,"Starchy roots or tubers and products thereof, sugar plants",1.158423794,1.611780455
A011P,Potato boiled,"Starchy roots or tubers and products thereof, sugar plants",0.503206926,0.388219545
A04GP,"Bovine and pig, minced meat",Meat and meat products,23.41450503,39.5959596
A011R,Potato baked,"Starchy roots or tubers and products thereof, sugar plants",0.57718042,0.43373494
A010C,Sweet potatoes,"Starchy roots or tubers and products thereof, sugar plants",0.606108386,0.39892905
A049S,"Bovine, minced meat",Meat and meat products,34.04164267,58.86994949
A00ZN,Mashed vegetable puree,Vegetables and vegetable products,0.505742189,0.39295393
A01RH,Sheep muscle,Meat and meat products,27.3895834,50.14277984
A01SP,Chicken fresh meat,Meat and meat products,8.582121315,14.28787879
A01SQ,Turkey fresh meat,Meat and meat products,8.582121315,14.28787879
A023C,"Ham, beef",Meat and meat products,34.04164267,58.86994949
A01SR,Duck fresh meat,Meat and meat products,8.582121315,14.28787879
A01SS,Goose fresh meat,Meat and meat products,8.582121315,14.28787879
A01SX,Guinea-fowl fresh meat,Meat and meat products,8.582121315,14.28787879
A01XZ,Chicken liver,Meat and meat products,8.582121315,14.28787879
A01XH,Veal liver,Meat and meat products,34.04164267,58.86994949
A020F,"Chicken, other organs (edible offals non-muscle)",Meat and meat products,8.582121315,14.28787879
A023X,Cooked other poultry meat,Meat and meat products,8.582121315,14.28787879
A026Q,"Pate, chicken liver",Meat and meat products,8.582121315,14.28787879
A01SN,Poultry fresh meat (muscle meat),Meat and meat products,8.582121315,14.28787879
A026P,"Pate, goose liver",Meat and meat products,8.582121315,14.28787879
A00DC,"Popcorn (maize, popped)",Grains and grain-based products,0.667230451,0.51352244
A023R,Cooked bovine tongue,Meat and meat products,34.04164267,58.86994949
A020H,"Duck, other organs (edible offals non-muscle)",Meat and meat products,8.582121315,14.28787879
A01XY,Poultry liver,Meat and meat products,8.582121315,14.28787879
A01SZ,Pheasant fresh meat,Meat and meat products,8.582121315,14.28787879
A002Q,Maize flour,Grains and grain-based products,0.992006757,2.105442006
A01TB,Quail fresh meat,Meat and meat products,8.582121315,14.28787879
A026N,Foie gras,Meat and meat products,8.582121315,14.28787879
A000T,Maize grain,Grains and grain-based products,0.522721043,0.842176802
A01TA,Pigeon fresh meat,Meat and meat products,8.582121315,14.28787879
A03VM,Legumes based dishes,Composite dishes,1.620535707,7.320785813
A012A,Broad beans (without pods),"Legumes, nuts, oilseeds and spices",1.192437783,2.162615142
A012B,Borlotti or other common beans (without pods),"Legumes, nuts, oilseeds and spices",1.109263285,1.537918595
A012G,Peas (without pods) and similar-,"Legumes, nuts, oilseeds and spices",0.476921799,1.122609462
A020T,Bovine heart,Meat and meat products,34.04164267,58.86994949
A012J,Garden peas (without pods),"Legumes, nuts, oilseeds and spices",0.476921799,1.122609462
A01XK,Sheep liver,Meat and meat products,27.3895834,50.14277984
A012R,Pulses (dried legume seeds),"Legumes, nuts, oilseeds and spices",1.009741805,1.537918595
A012S,Beans (dry) and similar-,"Legumes, nuts, oilseeds and spices",1.109263285,1.537918595
A01ZM,Bovine edible offals (other than liver and kidney),Meat and meat products,34.04164267,58.86994949
A01YK,Beef kidney,Meat and meat products,34.04164267,58.86994949
A01YN,Sheep kidney,Meat and meat products,27.3895834,50.14277984
A01ZQ,Sheep edible offals (other than liver and kidney),Meat and meat products,27.3895834,50.14277984
A0B9G,"Corned beef, cooked",Meat and meat products,37.48861237,64.99242424
A012T,Borlotti or other common beans (dry),"Legumes, nuts, oilseeds and spices",1.109263285,1.537918595
A012V,Kidney bean (dry seeds),"Legumes, nuts, oilseeds and spices",1.677770845,1.537918595
A012X,Navy beans (dry seeds),"Legumes, nuts, oilseeds and spices",1.065829139,1.413222492
A012Z,Flageolets (dry seeds),"Legumes, nuts, oilseeds and spices",1.109263285,1.537918595
A02LV,Cow milk,Milk and dairy products,1.585870237,1.460674157
A02MK,Cream and cream products,Milk and dairy products,10.68224368,10.43338684
A02ML,"Cream, plain",Milk and dairy products,10.68224368,10.43338684
A02MP,Flavoured milks,Milk and dairy products,1.585870237,1.460674157
A00KP,Sweet corn,Vegetables and vegetable products,2.559165579,6.163296329
A02NA,Sour cream products,Milk and dairy products,10.68224368,10.43338684
A02NB,"Sour cream, plain",Milk and dairy products,10.68224368,10.43338684
A00ZP,Sweet corn canned,Vegetables and vegetable products,3.271078327,6.397345557
A01RQ,Rabbit fresh meat,Meat and meat products,12.11892923,18.90909091
A01RN,Horse fresh meat,Meat and meat products,33.93804139,58.86994949
A02PG,Condensed milk (sometimes with added sugars),Milk and dairy products,4.502089986,3.213483146
A01BQ,Table olives ready for consumption,Fruit and fruit products,0.766568268,2.524106636
A02PY,Starchy pudding,Milk and dairy products,2.127821614,1.653661338
A02PZ,Dairy ice creams and similar,Milk and dairy products,10.56874368,10.43338684
A02QA,"Ice cream, milk-based",Milk and dairy products,10.56874368,10.43338684
A02QE,Cheese,Milk and dairy products,13.14211514,12.9428895
A02QF,Fresh uncured cheese,Milk and dairy products,16.96234554,16.69341894
A02QK,Quark,Milk and dairy products,1.729600757,1.460674157
A02RB,Soft brined cheese (feta type),Milk and dairy products,14.80596721,16.31086142
A02RJ,Soft-ripened washed-rind cheese (limburger type),Milk and dairy products,16.89264458,16.69341894
A02RT,"Soft-ripened cheese with bloomy rind (white mould) (brie, camembert type)",Milk and dairy products,16.89264458,16.69341894
A02SG,"Soft-ripened cheese veined with blue mould (blue bavarian, blue de graven type )",Milk and dairy products,16.89264458,16.69341894
A02SN,Soft-ripened cheese with natural rind and other soft-ripened cheeses,Milk and dairy products,16.89264458,16.69341894
A02TV,"Cheese, edam",Milk and dairy products,13.14211514,12.9428895
A02YM,"Cheese, emmental",Milk and dairy products,13.14211514,12.9428895
A030B,Firm-ripened blue mould-veined cheese,Milk and dairy products,13.1186009,12.9428895
A031A,Processed cheese and spreads,Milk and dairy products,11.8886189,11.68539326
A031C,"Processed cheese, spreadable",Milk and dairy products,11.8886189,11.68539326
A01SH,Wild boar fresh meat,Meat and meat products,12.10137371,18.90909091
A02RC,"Cheese, feta",Milk and dairy products,14.80596721,16.31086142
A02QG,Cottage cheese,Milk and dairy products,10.70231344,10.43338684
A02QH,Mascarpone,Milk and dairy products,10.70231344,10.43338684
A02QJ,Mozzarella,Milk and dairy products,11.88881986,11.68539326
A02QL,Ricotta,Milk and dairy products,16.72073027,17.9167488
A02QP,"Cheese, burrata",Milk and dairy products,11.95431986,11.68539326
A02QQ,"Cheese, chevre frais",Milk and dairy products,23.33220277,25.75399172
A02QX,"Cheese, triple creme",Milk and dairy products,16.96234554,16.69341894
A02QZ,Cream cheese,Milk and dairy products,11.95431986,11.68539326
A031D,Processed cheese wedges and similar,Milk and dairy products,11.9501189,11.68539326
A02RH,Soft - ripened cheese,Milk and dairy products,16.89264458,16.69341894
A02RK,"Cheese, epoisses",Milk and dairy products,16.89264458,16.69341894
A02RL,"Cheese, langres",Milk and dairy products,16.89264458,16.69341894
A02RN,"Cheese, munster",Milk and dairy products,16.89264458,16.69341894
A02RR,"Cheese, vacherin mont d'or",Milk and dairy products,16.89264458,16.69341894
A02RV,"Cheese, brie",Milk and dairy products,16.89264458,16.69341894
A02RX,"Cheese, camembert",Milk and dairy products,16.89264458,16.69341894
A02RY,"Cheese, chaource",Milk and dairy products,16.89264458,16.69341894
A02RZ,"Cheese, chevre mould ripened",Milk and dairy products,33.14676302,36.79141674
A02SA,"Cheese, coulommiers",Milk and dairy products,16.89264458,16.69341894
A02SD,"Cheese, pouligny-saint-pierre",Milk and dairy products,33.14676302,36.79141674
A02SF,"Cheese, saint marcellin",Milk and dairy products,16.89264458,16.69341894
A02QS,"Cheese, crescenza",Milk and dairy products,16.89684554,16.69341894
A02SS,"Cheese, robiola",Milk and dairy products,23.70180231,25.59535543
A02SV,Firm/semi-hard cheese (gouda and edam type),Milk and dairy products,13.14211514,12.9428895
A02TC,"Cheese, beaufort",Milk and dairy products,13.14211514,12.9428895
A02TJ,"Cheese, cantal",Milk and dairy products,13.14211514,12.9428895
A02TP,"Cheese, cream havarti",Milk and dairy products,16.89264458,16.69341894
A02TQ,"Cheese, danbo",Milk and dairy products,13.14211514,12.9428895
A02TY,"Cheese, fontina",Milk and dairy products,16.89264458,16.69341894
A02VA,"Cheese, gouda",Milk and dairy products,13.14211514,12.9428895
A02VN,"Cheese, maasdam",Milk and dairy products,13.14211514,12.9428895
A02VQ,"Cheese, mimolette",Milk and dairy products,13.14211514,12.9428895
A02VR,"Cheese, morbier",Milk and dairy products,13.14211514,12.9428895
A02VZ,"Cheese, ossau-iraty",Milk and dairy products,16.25059001,17.92402354
A02XE,"Cheese, provolone",Milk and dairy products,13.14211514,12.9428895
A02XF,"Cheese, raclette",Milk and dairy products,13.14211514,12.9428895
A02XH,"Cheese, saint nectaire",Milk and dairy products,16.89264458,16.69341894
A02XJ,"Cheese, saint paulin",Milk and dairy products,13.14211514,12.9428895
A02XL,"Cheese, scamorza",Milk and dairy products,16.89264458,16.69341894
A02XS,"Cheese, tomme de savoie",Milk and dairy products,13.14211514,12.9428895
A02YE,"Hard cheese (cheddar, emmental type)",Milk and dairy products,13.14211514,12.9428895
A02YK,"Cheese, cheddar",Milk and dairy products,13.14211514,12.9428895
A02YP,"Cheese, gruyere",Milk and dairy products,13.14211514,12.9428895
A02ZD,"Cheese, pecorino toscano",Milk and dairy products,16.25059001,17.92402354
A02ZH,"Extra hard cheese (parmesan, grana type)",Milk and dairy products,13.14211514,12.9428895
A02ZL,"Cheese, caciocavallo",Milk and dairy products,14.64545357,15.38255752
A02ZM,"Cheese, comte",Milk and dairy products,13.14211514,12.9428895
A02ZQ,"Cheese, grana padano",Milk and dairy products,13.14211514,12.9428895
A02ZS,"Cheese, parmigiano reggiano",Milk and dairy products,13.14211514,12.9428895
A02ZT,"Cheese, pecorino romano",Milk and dairy products,16.25059001,17.92402354
A030C,"Cheese, bleu d'auvergne",Milk and dairy products,13.1186009,12.9428895
A030F,"Cheese, fourme d'ambert",Milk and dairy products,13.1186009,12.9428895
A030H,"Cheese, gorgonzola",Milk and dairy products,13.1186009,12.9428895
A030K,"Cheese, roquefort",Milk and dairy products,16.22707577,17.92402354
A030P,Firm-ripened bloomy (white mould) or washed rind,Milk and dairy products,13.14211514,12.9428895
A030V,"Cheese, livarot",Milk and dairy products,16.89264458,16.69341894
A030X,"Cheese, pont l'eveque",Milk and dairy products,16.89264458,16.69341894
A030Y,"Cheese, reblochon",Milk and dairy products,16.89264458,16.69341894
A01SC,"Deer, red fresh meat",Meat and meat products,34.04164267,58.86994949
A00EJ,Muesli and similar,Grains and grain-based products,0.364822686,1.389189902
A04LH,"Breakfast cereals, plain",Grains and grain-based products,0.777778986,1.389189902
A00CV,Breakfast cereals,Grains and grain-based products,1.044378986,1.389189902
A00EM,Processed mixed cereal-based flakes,Grains and grain-based products,1.044378986,1.389189902
A00FA,Cereal bars mixed,Grains and grain-based products,1.044378986,1.389189902
A01RJ,Sheep (adult) fresh meat,Meat and meat products,27.3895834,50.14277984
A00DH,Oat rolled grains,Grains and grain-based products,0.631422686,1.389189902
A00EL,Muesli mixed,Grains and grain-based products,0.364822686,1.389189902
A00EY,Cereal bars,Grains and grain-based products,0.631422686,1.389189902
A02NC,Créme fraiche and other mild variants of sour cream,Milk and dairy products,10.68224368,10.43338684
A02PF,"Evaporated milk (liquid, unsweetened)",Milk and dairy products,5.586213063,4.296100463
A037F,Grape seed oil,Animal and vegetable fats and oils and primary derivatives thereof,1.813613524,2.032520325
A01RK,Lamb fresh meat,Meat and meat products,27.3895834,50.14277984
A02MN,Cream sprayable,Milk and dairy products,11.72199368,10.43338684
A02LT,Milk,Milk and dairy products,1.585870237,1.460674157
A02LY,"Cow milk, whole",Milk and dairy products,1.585870237,1.460674157
A02LZ,"Cow milk, semi skimmed (half fat)",Milk and dairy products,1.585870237,1.460674157
A02MA,"Cow milk, skimmed (low fat)",Milk and dairy products,1.585870237,1.460674157
A02PL,"Milk powder, skimmed",Milk and dairy products,7.764621323,7.687758723
A01DX,Table grapes,Fruit and fruit products,0.449296451,0.422764228
A01CA,Limes,Fruit and fruit products,0.347661309,0.390752198
A01CY,Grapefruits,Fruit and fruit products,0.991944441,0.803212851
A01LH,Granate apples,Fruit and fruit products,0.738421558,0.550200803
A01ME,Dried vine fruits (raisins etc.),Fruit and fruit products,1.214798781,1.845528455
A042R,"Salt, iodised","Seasoning, sauces and condiments",,
A042P,Salt,"Seasoning, sauces and condiments",,
A042X,Sea salt,"Seasoning, sauces and condiments",,
A042Z,Mixed herbs and spices,"Seasoning, sauces and condiments",,
A043A,Curry powder,"Seasoning, sauces and condiments",,
A043F,Stock cubes or granulate (bouillon base),"Seasoning, sauces and condiments",,
A043L,Vegetable savoury extracts,"Seasoning, sauces and condiments",,
A043T,Gravy instant granules,"Seasoning, sauces and condiments",,
A044G,Mustard and related sauces,"Seasoning, sauces and condiments",,
A044L,Vinegar,"Seasoning, sauces and condiments",,
A044M,"Vinegar, wine","Seasoning, sauces and condiments",,
A03AK,"Juice, grape",Fruit and vegetable juices and nectars (including concentrates),0.640353632,0.528455285
A03CJ,"Juice, tomato",Fruit and vegetable juices and nectars (including concentrates),1.457950986,0.075856275
