FoodEx2,Food item,L1,GHGE of 1 kg food as consumed_kgCO2eq,Land use of 1 kg food as consumed_m2/yr
A044X,Mayonnaise sauce,"Seasoning, sauces and condiments",4.14206482,18.01928595
A045B,Barbecue or steak sauces,"Seasoning, sauces and condiments",2.562847304,0.119981821
A045C,British islands brown sauce,"Seasoning, sauces and condiments",2.562847304,0.119981821
A045N,Tartar sauce,"Seasoning, sauces and condiments",4.14206482,18.01928595
A045Y,Pickles,"Seasoning, sauces and condiments",4.131636063,0.06097561
A045K,Salad dressing,"Seasoning, sauces and condiments",2.293011835,9.009642977
A045L,"Salad dressing, low fat","Seasoning, sauces and condiments",2.293011835,9.009642977
A013H,Broad beans (dry),"Legumes, nuts, oilseeds and spices",0.961127214,1.031567423
A013J,Garden peas (dry),"Legumes, nuts, oilseeds and spices",0.478027839,1.122609462
A0BAV,Chickpeas (without pods),"Legumes, nuts, oilseeds and spices",1.141608695,6.3923881
A013M,Chickpeas (dry),"Legumes, nuts, oilseeds and spices",1.141608695,6.3923881
A013Q,Lentils (dry),"Legumes, nuts, oilseeds and spices",0.669853458,2.861519298
A01BB,Canned or jarred common beans,"Legumes, nuts, oilseeds and spices",1.228205564,0.560333743
A01BC,Canned or jarred peas,"Legumes, nuts, oilseeds and spices",0.949886406,1.099283209
A044P,Tomato ketchup and related sauces,"Seasoning, sauces and condiments",2.562847304,0.119981821
A00HR,Globe tomato,Vegetables and vegetable products,0.919045024,0.054537191
A00HT,Plum tomato,Vegetables and vegetable products,0.941270634,0.056024569
A00ZD,Tomato puree,Vegetables and vegetable products,3.378855367,0.124538093
A0DMX,Tomatoes,Vegetables and vegetable products,0.919045024,0.054537191
A00HQ,Tomatoes and similar-,Vegetables and vegetable products,0.919045024,0.054537191
A033J,Honey,"Sugar and similar, confectionery and water-based sweet desserts",1.181971582,1.160147313
A034G,Bitter chocolate,"Sugar and similar, confectionery and water-based sweet desserts",7.744342904,10.37723997
A034H,Bitter-sweet chocolate,"Sugar and similar, confectionery and water-based sweet desserts",7.744342904,10.37723997
A034J,Milk chocolate,"Sugar and similar, confectionery and water-based sweet desserts",5.994023531,7.864191279
A034Q,Filled chocolate,"Sugar and similar, confectionery and water-based sweet desserts",5.994023531,7.864191279
A034R,Chocolate coated confectionery,"Sugar and similar, confectionery and water-based sweet desserts",5.994023531,7.864191279
A00HY,Cherry tomatoes,Vegetables and vegetable products,0.919045024,0.054537191
A034Y,Marzipan,"Sugar and similar, confectionery and water-based sweet desserts",2.397951402,6.492892208
A00ZC,"Preserved tomato, whole or pieces",Vegetables and vegetable products,1.922686591,0.065356768
A00ZE,Preserved concentrated tomatoes,Vegetables and vegetable products,5.021705578,0.272748715
A00ZF,Tomato paste,Vegetables and vegetable products,5.021705578,0.272748715
A00ZG,Sun-dried tomatoes,Vegetables and vegetable products,13.8031473,0.878971331
A03MV,"Wine, white",Alcoholic beverages,1.397268563,0.528455285
A03MX,"Wine, red",Alcoholic beverages,1.397268563,0.528455285
A036K,Sorbet,"Sugar and similar, confectionery and water-based sweet desserts",0.881343951,0.337046371
A0C6P,Chocolate spread,"Sugar and similar, confectionery and water-based sweet desserts",5.994023531,7.864191279
A0EQD,Chocolate and similar,"Sugar and similar, confectionery and water-based sweet desserts",5.994023531,7.864191279
A03MT,Wine,Alcoholic beverages,1.397268563,0.528455285
A00FJ,Vegetables and vegetable products,Vegetables and vegetable products,1.363187792,2.476914211
A00FN,Broccoli,Vegetables and vegetable products,0.985591044,1.124131353
A00FR,Cauliflowers,Vegetables and vegetable products,1.729182118,2.678407017
A00FY,Head cabbages,Vegetables and vegetable products,0.462641926,0.321220865
A00GB,Savoy cabbages,Vegetables and vegetable products,0.462641926,0.321220865
A00GG,Chinese cabbages,Vegetables and vegetable products,0.462641926,0.321220865
A00GV,Kohlrabies,Vegetables and vegetable products,0.436348182,0.279322491
A00GZ,Garlic,Vegetables and vegetable products,0.382843477,0.38422987
A00HC,Onions,Vegetables and vegetable products,0.423678833,0.394253258
A0DND,Onion bulbs for fresh consumption,Vegetables and vegetable products,0.206678833,0.394253258
A03NA,Champagne-like wine,Alcoholic beverages,1.291253163,0.528455285
A03PE,Brandy,Alcoholic beverages,1.153089563,0.528455285
A00JA,Sweet peppers,Vegetables and vegetable products,3.827375006,0.18597561
A00JM,Cucumbers,Vegetables and vegetable products,3.861811825,0.062804878
A00JP,Gherkins,Vegetables and vegetable products,3.861811825,0.062804878
A00JQ,Courgettes and similar-,Vegetables and vegetable products,0.522913821,0.385779349
A00JR,Courgettes,Vegetables and vegetable products,0.522913821,0.385779349
A00JS,Summer squashes,Vegetables and vegetable products,0.538519142,0.408701384
A00KJ,Watermelons,Vegetables and vegetable products,0.367733707,0.498183705
A00EQ,Oat porridge,Grains and grain-based products,1.397621595,2.278570313
A00MJ,Spinaches,Vegetables and vegetable products,0.652546734,0.989547038
A00PC,Beans (with pods) and similar-,Vegetables and vegetable products,0.596645724,0.539833728
A00QG,Beetroots,Vegetables and vegetable products,0.513794054,0.332204552
A00QH,Carrots,Vegetables and vegetable products,0.391467498,0.2667162
A00QJ,Celeriacs,Vegetables and vegetable products,0.946564449,0.039823685
A00QK,Horseradish roots,Vegetables and vegetable products,0.391467498,0.2667162
A00QS,Parsley roots,Vegetables and vegetable products,0.402410783,0.289210337
A00QY,Daikon,Vegetables and vegetable products,0.391467498,0.2667162
A00SB,Leeks,Vegetables and vegetable products,0.523697078,0.936341175
A00TD,Wild fungi and similar-,Vegetables and vegetable products,4.927083039,0.010558015
A00TG,Ceps,Vegetables and vegetable products,4.927083039,0.010558015
A00TQ,Common mushrooms,Vegetables and vegetable products,4.927083039,0.010558015
A00TY,Dried mushrooms,Vegetables and vegetable products,33.75004645,0.075771693
A00TZ,Canned mushrooms,Vegetables and vegetable products,5.729254862,0.010958952
A00XA,Celery leaves,Vegetables and vegetable products,0.729564449,0.039823685
A00YE,Parsley,Vegetables and vegetable products,0.729564449,0.039823685
A00ZA,Processed or preserved vegetables and similar,Vegetables and vegetable products,1.363187792,2.476914211
A03NL,Port,Alcoholic beverages,1.397268563,0.528455285
A00ZJ,Pickled/marinated vegetables,Vegetables and vegetable products,4.63178621,0.065189873
A00ZK,Sauerkraut,Vegetables and vegetable products,0.489781374,0.364466847
A01BH,Chickpea flour,"Legumes, nuts, oilseeds and spices",8.684303817,80.54140981
A00EZ,Cereal bars plain,Grains and grain-based products,0.631422686,1.389189902
A0DJR,Swiss chards,Vegetables and vegetable products,0.464455302,0.416744062
A0DLB,Lettuces and similar-,Vegetables and vegetable products,0.369999073,0.019785366
A03MY,"Wine, rosé",Alcoholic beverages,1.397268563,0.528455285
A0DNJ,Small radishes,Vegetables and vegetable products,0.160449205,0.237901325
A00GY,Garlic and similar-,Vegetables and vegetable products,0.382843477,0.38422987
A0DNB,Shallots and similar-,Vegetables and vegetable products,0.423678833,0.394253258
A00FM,Broccoli and similar-,Vegetables and vegetable products,0.9812008,1.117318436
A00KF,Melons,Vegetables and vegetable products,0.381773711,0.508562532
A00KH,Pumpkins,Vegetables and vegetable products,0.581153289,0.471324984
A03PS,Punch,Alcoholic beverages,1.397268563,0.528455285
A03PT,Sangria,Alcoholic beverages,1.124849163,0.528455285
A00JB,Chili peppers,Vegetables and vegetable products,4.253594518,0.208841463
A00JD,Aubergines,Vegetables and vegetable products,5.882942401,0.168830317
A0ETG,Fungi,Vegetables and vegetable products,4.927083039,0.010558015
A00GA,Red cabbages,Vegetables and vegetable products,0.429398023,0.268247599
A00GC,White cabbage,Vegetables and vegetable products,0.451195558,0.302981385
A00GL,Kales and similar-,Vegetables and vegetable products,0.462641926,0.321220865
A00GM,Curly kales,Vegetables and vegetable products,0.466178511,0.326856318
A00KR,Leafy vegetables,Vegetables and vegetable products,0.653047854,0.989547038
A00KT,Lamb's lettuces,Vegetables and vegetable products,0.32620639,0.017121951
A00KX,Lettuces,Vegetables and vegetable products,0.32620639,0.017121951
A00KY,Head lettuces,Vegetables and vegetable products,0.32620639,0.017121951
A00LC,Romaines,Vegetables and vegetable products,0.26573078,0.013443902
A00LE,Escaroles,Vegetables and vegetable products,0.369999073,0.019785366
A00LF,Curly endives,Vegetables and vegetable products,0.286584439,0.014712195
A00LG,Radicchio,Vegetables and vegetable products,0.263645415,0.013317073
A00LH,Wild chicories,Vegetables and vegetable products,0.369999073,0.019785366
A00LM,Roman rocket and similar-,Vegetables and vegetable products,0.26573078,0.013443902
A00LY,Turnip tops,Vegetables and vegetable products,0.1872114,0.292911541
A00NE,Witloofs,Vegetables and vegetable products,0.316632828,0.016646341
A00PG,French beans (with pods),Vegetables and vegetable products,0.596645724,0.539833728
A0ETQ,Canned/jarred vegetables,Vegetables and vegetable products,2.191826746,2.570974244
A03NG,Fortified and liqueur wines,Alcoholic beverages,1.124849163,0.528455285
A03NH,Vermouth,Alcoholic beverages,1.124849163,0.528455285
A03MZ,Sparkling wine,Alcoholic beverages,1.291253163,0.528455285
A01DY,Wine grapes,Fruit and fruit products,0.950161085,1.37398374
A00QV,Radishes,Vegetables and vegetable products,0.173308961,0.264334805
A00RT,Asparagus,Vegetables and vegetable products,2.158790252,6.382739212
A00RY,Celeries,Vegetables and vegetable products,0.946564449,0.039823685
A00FV,Brussels sprouts,Vegetables and vegetable products,0.41645939,0.250214147
A00QR,Parsnip roots,Vegetables and vegetable products,0.391467498,0.2667162
A00QX,Black radishes,Vegetables and vegetable products,0.160449205,0.237901325
A00RE,Turnips,Vegetables and vegetable products,0.401113574,0.286543899
A00SR,Mung bean sprouts,Vegetables and vegetable products,3.658546454,0.007687875
A02PJ,Milk powder,Milk and dairy products,7.764621323,7.687758723
A02PK,"Milk powder, full fat",Milk and dairy products,7.764621323,7.687758723
A00SA,Florence fennels,Vegetables and vegetable products,0.391467498,0.2667162
A00SC,Palm hearts,Vegetables and vegetable products,1.34756014,2.723383402
A00SF,"Sprouts, shoots and similar",Vegetables and vegetable products,0.41645939,0.250214147
A03GF,Powdered drink bases,Water and water-based beverages,0.272771189,0
A03DL,Tap water,Water and water-based beverages,0,0
A03DT,Bottled drinking water,Water and water-based beverages,0.272771189,0
A03EX,"Soft drink, flavoured, no fruit",Water and water-based beverages,0.514550149,0.466888553
A03FQ,Cola-type drinks,Water and water-based beverages,0.514550149,0.466888553
A03GD,Drink mixes,Water and water-based beverages,0.514550149,0.466888553
A03GE,Liquid drink bases (including concentrates and home-made preparations),Water and water-based beverages,0.514550149,0.466888553
A03DQ,Natural mineral water,Water and water-based beverages,0.272771189,0
A03DR,Still natural mineral water,Water and water-based beverages,0.272771189,0
A03DS,Carbonated natural mineral water,Water and water-based beverages,0.272771189,0
A03DV,Still bottled drinking water,Water and water-based beverages,0.272771189,0
A03DX,Carbonated bottled drinking water,Water and water-based beverages,0.272771189,0
A03DY,Flavoured bottled water,Water and water-based beverages,0.272771189,0
A03DZ,Soft drinks,Water and water-based beverages,0.514550149,0.466888553
A03EA,"Soft drink, with fruit juice (fruit content below the minimum for nectars)",Water and water-based beverages,0.514550149,0.466888553
A03EL,"Fruit soft drink, orange",Water and water-based beverages,0.514550149,0.466888553
A03EV,"Fruit soft drink, mixed fruit",Water and water-based beverages,0.514550149,0.466888553
A03EY,Soft drink with bitter principle,Water and water-based beverages,0.514550149,0.466888553
A03FD,"Soft drink, flavoured with herbs",Water and water-based beverages,0.514550149,0.466888553
A03FF,"Soft drink, lemon flavour",Water and water-based beverages,0.514550149,0.466888553
A03FR,"Cola beverages, caffeinic",Water and water-based beverages,0.514550149,0.466888553
A03FV,Diet soft drinks with fruit juice,Water and water-based beverages,0.514550149,0.466888553
A03FX,Diet soft drinks with flavours,Water and water-based beverages,0.514550149,0.466888553
A04PY,Water based beverages,Water and water-based beverages,0.272771189,0
A003K,"Rye flour, light",Grains and grain-based products,0.609554245,4.797879221
A003M,"Rye flour, wholemeal",Grains and grain-based products,0.556302553,4.362722733
A037G,Linseed oil,Animal and vegetable fats and oils and primary derivatives thereof,4.213530932,24.95117577
A03NY,Coffee liqueur,Alcoholic beverages,1.235205835,0.893636323
A03NM,Marsala,Alcoholic beverages,1.124849163,0.528455285
A04QC,Other wine-like fruit drinks,Alcoholic beverages,1.124849163,0.528455285
A038Q,Cod liver oil,Animal and vegetable fats and oils and primary derivatives thereof,4.954078208,0
A037P,"Palm kernel oil, edible",Animal and vegetable fats and oils and primary derivatives thereof,8.512127234,2.768760162
A036Y,"Maize oil, edible",Animal and vegetable fats and oils and primary derivatives thereof,3.518769726,17.85736916
A037L,Other plant oils,Animal and vegetable fats and oils and primary derivatives thereof,3.518769726,17.85736916
A03HA,Barley coffee ingredient,"Coffee, cocoa, tea and infusions",0.118236653,0.573546129
A03JV,Ginseng infusion roots,"Coffee, cocoa, tea and infusions",0.800409068,0.183297842
A03HY,Instant tea powder,"Coffee, cocoa, tea and infusions",0.800409068,0.183297842
A03KS,Barley coffee infusion,"Coffee, cocoa, tea and infusions",0.118236653,0.573546129
A03GT,Malt coffee ingredient,"Coffee, cocoa, tea and infusions",0.118236653,0.573546129
A03GV,Chicory coffee ingredient,"Coffee, cocoa, tea and infusions",0.118236653,0.573546129
A03XJ,Fish and seafood based dishes,Composite dishes,6.446871357,6.888101912
A00FC,Corn chips,Composite dishes,1.855521043,2.728652839
A00FD,Tortilla chips,Composite dishes,0.928962921,0.43902439
A0BYT,Potato crisps from dough,Composite dishes,0.928962921,0.43902439
A0B9R,"Mixed vegetables soup, dry",Composite dishes,6.321469402,10.08508027
A0B9S,"Mushroom soup, dry",Composite dishes,6.320928082,10.08508027
A00EP,Corn semolina based thick soup,Composite dishes,6.503561382,10.08508027
A02BS,Garfish,"Fish, seafood, amphibians, reptiles and invertebrates",5.557886166,0
A02CF,Coalfish,"Fish, seafood, amphibians, reptiles and invertebrates",5.153078208,0
A0FBV,Canned mackerel,"Fish, seafood, amphibians, reptiles and invertebrates",2.664533679,0
A02EL,Cod liver,"Fish, seafood, amphibians, reptiles and invertebrates",5.488593756,0
A02EM,Fish roe,"Fish, seafood, amphibians, reptiles and invertebrates",11.62159992,1.368819258
A02LL,"Snail, garden","Fish, seafood, amphibians, reptiles and invertebrates",12.15526707,0
A02FL,"Crabs, sea-spiders","Fish, seafood, amphibians, reptiles and invertebrates",22.0879066,3.345623791
A029Y,Salema,"Fish, seafood, amphibians, reptiles and invertebrates",14.07363499,0
A02AG,Miscellaneous demersal marine fishes,"Fish, seafood, amphibians, reptiles and invertebrates",16.95093852,0
A02BH,Brill,"Fish, seafood, amphibians, reptiles and invertebrates",22.74747445,4.49019066
A02DN,Smooth hounds,"Fish, seafood, amphibians, reptiles and invertebrates",8.019541129,0
A0FAX,Dentex,"Fish, seafood, amphibians, reptiles and invertebrates",14.07363499,0
A02JR,Stockfish,"Fish, seafood, amphibians, reptiles and invertebrates",5.153078208,0
A0EYT,Salt-preserved fish,"Fish, seafood, amphibians, reptiles and invertebrates",18.60825323,2.300711408
A0FBS,Canned salmon,"Fish, seafood, amphibians, reptiles and invertebrates",4.648680212,3.457446809
A0BZ5,Canned seafood,"Fish, seafood, amphibians, reptiles and invertebrates",16.10984514,2.380762411
A02HG,Oysters,"Fish, seafood, amphibians, reptiles and invertebrates",66.36231211,20.04458698
A02KR,Frogs (legs),"Fish, seafood, amphibians, reptiles and invertebrates",31.04841385,0
A027T,Pike,"Fish, seafood, amphibians, reptiles and invertebrates",9.841820528,0
A02AN,Scorpion fishes,"Fish, seafood, amphibians, reptiles and invertebrates",14.07363499,0
A02BG,Turbot,"Fish, seafood, amphibians, reptiles and invertebrates",22.74747445,4.49019066
A02DY,Albacore,"Fish, seafood, amphibians, reptiles and invertebrates",6.826192546,0
A02KH,Other smoked fishes,"Fish, seafood, amphibians, reptiles and invertebrates",17.52454202,2.156164095
A0F7F,Lumpfish roe,"Fish, seafood, amphibians, reptiles and invertebrates",11.62159992,1.368819258
A02GX,"Water snails, conches and whelks","Fish, seafood, amphibians, reptiles and invertebrates",9.331125848,0
A02JA,Cuttlefishes,"Fish, seafood, amphibians, reptiles and invertebrates",7.492794456,0
A01GN,Nectarines,Fruit and fruit products,0.338085923,0.602409639
A01DR,Quinces,Fruit and fruit products,0.243760038,0.277458381
A01MB,Dried prunes,Fruit and fruit products,0.696315836,1.725903614
A01NT,Canned or jarred plum,Fruit and fruit products,0.815154852,0.335443038
A01NV,Canned or jarred sweet cherry,Fruit and fruit products,0.810489549,0.344936709
A01DC,Tangelos (except minneolas),Fruit and fruit products,0.460305146,0.599412576
A01MF,Dried dates,Fruit and fruit products,2.089952508,2.143310082
A01KD,Prickly pears,Fruit and fruit products,0.243760038,0.277458381
A01MG,Dried figs,Fruit and fruit products,1.570647108,2.143310082
A01PC,Canned or jarred mixed fruit,Fruit and fruit products,1.725016649,0.752697942
A01PS,Candied fruits,Fruit and fruit products,2.435399826,1.058615541
A01QE,Citrus fruit peel,Fruit and fruit products,0.488155285,0.615434712
A01MA,Dried fruit,Fruit and fruit products,1.964575848,2.575340683
A01NN,Canned or jarred fruit,Fruit and fruit products,1.550822322,0.439957346
A01PD,Compote of fruit / vegetables,Fruit and fruit products,1.681129736,0.615940285
A01QF,Mixed dried fruits,Fruit and fruit products,2.507010528,2.575340683
A01QJ,Fruit or fruit-vegetable puree,Fruit and fruit products,1.898129736,0.615940285
A039V,"Juice, elderberry",Fruit and vegetable juices and nectars (including concentrates),0.962956129,0.391566265
A03CS,Mixed vegetable juice,Fruit and vegetable juices and nectars (including concentrates),2.453491069,3.670607806
A04PQ,Vegetable juices,Fruit and vegetable juices and nectars (including concentrates),2.453491069,3.670607806
A002G,Buckwheat flour,Grains and grain-based products,0.61466988,1.087142153
A003F,Rice flour,Grains and grain-based products,0.845186903,0.789111727
A004P,Wheat bran,Grains and grain-based products,0.560841977,1.92699613
A004G,Bulgur,Grains and grain-based products,0.560841977,1.92699613
A006K,Puffed rice textured bread,Grains and grain-based products,0.966228073,3.309167813
A004Z,"Wheat bread and rolls, white with maize",Grains and grain-based products,0.966228073,3.309167813
A005A,"Wheat bread and rolls, white with potato",Grains and grain-based products,0.966228073,3.309167813
A005C,"Wheat bread and rolls, white with soya",Grains and grain-based products,0.966228073,3.309167813
A04KZ,Unleavened or flat bread and similar,Grains and grain-based products,0.966228073,3.309167813
A00DA,Processed barley-based flakes,Grains and grain-based products,0.482517936,1.29104109
A00DN,Processed oat-based flakes,Grains and grain-based products,0.631422686,1.389189902
A000G,Oat grain,Grains and grain-based products,0.364822686,1.389189902
A000N,Buckwheat,Grains and grain-based products,0.560841977,1.92699613
A001R,Spelt grain,Grains and grain-based products,0.343841977,1.92699613
A00AB,"Biscuits, oat meal",Grains and grain-based products,2.830264485,8.115070052
A00AR,Cheese cake,Grains and grain-based products,12.42830087,14.16919177
A00AS,Cream cheese cake,Grains and grain-based products,12.42830087,14.16919177
A00AX,Cream custard cake,Grains and grain-based products,12.42830087,14.16919177
A00CR,Spice cakes,Grains and grain-based products,12.42830087,14.16919177
A00BQ,"Croissant, filled with jam",Grains and grain-based products,17.6642179,18.48467486
A008F,"Noodle, rice",Grains and grain-based products,1.111786903,0.789111727
A009H,Choux pastry dough,Grains and grain-based products,2.318562861,6.017914899
A00AM,Gougere,Grains and grain-based products,2.318562861,6.017914899
A00CH,Baklava,Grains and grain-based products,17.6642179,18.48467486
A00CN,Macaroons,Grains and grain-based products,12.42830087,14.16919177
A00CP,Meringue,Grains and grain-based products,3.107223319,8.893280632
A008X,Short pastry doughs (pate brisee),Grains and grain-based products,2.318562861,6.017914899
A009L,Laminated doughs,Grains and grain-based products,17.6642179,18.48467486
A013L,Field (maple) pea (dry seeds),"Legumes, nuts, oilseeds and spices",0.476921799,1.122609462
A015G,Linseeds,"Legumes, nuts, oilseeds and spices",1.934910889,16.91605731
A015K,Sesame seeds,"Legumes, nuts, oilseeds and spices",1.208671646,6.571545408
A014P,Pine nut kernels and similar-,"Legumes, nuts, oilseeds and spices",7.268711949,0.013455728
A01BV,Pine nut kernels,"Legumes, nuts, oilseeds and spices",7.268711949,0.013455728
A0F0L,Candied or sugar preserved nuts,"Legumes, nuts, oilseeds and spices",1.449725779,8.720352515
A014C,Tree nuts,"Legumes, nuts, oilseeds and spices",1.873472648,6.621665826
A014G,Brazil nuts,"Legumes, nuts, oilseeds and spices",4.320136741,32.22996516
A01BL,Chestnut puree (castanea vulgaris),"Legumes, nuts, oilseeds and spices",2.44883398,6.952749117
A01BN,Peanut butter,"Legumes, nuts, oilseeds and spices",1.666563179,8.720352515
A01SJ,Hare fresh meat,Meat and meat products,12.10137371,18.90909091
A03NV,Herb liqueur,Alcoholic beverages,1.235205835,0.893636323
A03PD,Unsweetened spirits,Alcoholic beverages,1.235205835,0.893636323
A03PK,Spirits made from stone fruits,Alcoholic beverages,1.235205835,0.893636323
A03HD,Mixed coffee imitates,"Coffee, cocoa, tea and infusions",0.118236653,0.573546129
A03KL,Coffee imitate beverages,"Coffee, cocoa, tea and infusions",0.118236653,0.573546129
A03KY,Cocoa beverages,"Coffee, cocoa, tea and infusions",3.004688415,3.113842428
A0F0B,Pig head,Meat and meat products,12.10137371,18.90909091
A0F1T,Animal blood,Meat and meat products,23.41450503,39.5959596
A022N,"Horse meat, dried",Meat and meat products,34.04164267,58.86994949
A0F3L,Mammals other organs (edible offals non-muscle),Meat and meat products,23.41450503,39.5959596
A020S,Bovine tongue,Meat and meat products,34.04164267,58.86994949
A020X,Bovine marrowbone,Meat and meat products,34.04164267,58.86994949
A01RL,Goat muscle,Meat and meat products,27.3895834,50.14277984
A01RP,Asses-mules-hinnies fresh meat,Meat and meat products,34.04164267,58.86994949
A01SA,Deer fresh meat,Meat and meat products,34.04164267,58.86994949
A05QH,Porchetta,Meat and meat products,12.10137371,18.90909091
A022R,Raw cured meat,Meat and meat products,10.24531311,15.80681818
A022Z,"Corned pork, uncooked",Meat and meat products,10.24531311,15.80681818
A024H,Italian-style sausage,Meat and meat products,12.10137371,18.90909091
A024Z,Hungarian-type salami,Meat and meat products,12.10137371,18.90909091
A020Z,Bovine trotters and feet,Meat and meat products,34.04164267,58.86994949
A02QB,"Ice cream, milk-imitate based",Milk and dairy products,0.661209801,1.348532121
A02NK,"Yoghurt, sheep milk, plain",Milk and dairy products,3.191343275,3.262172285
A03TQ,Dairy imitates other than milks,"Products for non-standard diets, food imitates and food supplements",0.530059867,1.008248315
A03TM,Rice drink,"Products for non-standard diets, food imitates and food supplements",0.922664487,0.736920422
A03TE,Meat imitates,"Products for non-standard diets, food imitates and food supplements",2.278272141,4.537117418
A044Y,"Mayonnaise, low fat","Seasoning, sauces and condiments",2.293011835,9.009642977
A043A,Curry powder,"Seasoning, sauces and condiments",,
A0F1N,White sauces,"Seasoning, sauces and condiments",2.101404312,2.123585531
A00ZV,New potatoes,"Starchy roots or tubers and products thereof, sugar plants",0.503206926,0.388219545
A011G,Potato flour,"Starchy roots or tubers and products thereof, sugar plants",0.939990059,1.609103079
A033Z,Syrups,"Sugar and similar, confectionery and water-based sweet desserts",0.998277832,1.160147313
A0EQP,Soft candies and analogues,"Sugar and similar, confectionery and water-based sweet desserts",0.767784082,1.160147313
A00VM,Kombu,Vegetables and vegetable products,4.791168405,0.0102505
A00HH,Spring onions,Vegetables and vegetable products,0.206678833,0.394253258
A00KZ,Crisp lettuces,Vegetables and vegetable products,0.316632828,0.016646341
A00QA,Podded pea (young pods),Vegetables and vegetable products,0.326371799,1.122609462
A00QQ,Jerusalem artichokes,Vegetables and vegetable products,0.890865252,4.600081785
A00SD,Rhubarbs,Vegetables and vegetable products,0.400388229,0.285052938
A034N,Gianduja chocolate,"Sugar and similar, confectionery and water-based sweet desserts",7.744342904,10.37723997
A034P,White chocolate,"Sugar and similar, confectionery and water-based sweet desserts",5.052790992,6.587509644
A035D,Nougat,"Sugar and similar, confectionery and water-based sweet desserts",2.397951402,6.492892208
A036J,Water-based ice creams,"Sugar and similar, confectionery and water-based sweet desserts",0.881343951,0.337046371
A0DGR,Courgette (edible flowers),Vegetables and vegetable products,0.522913821,0.385779349
A0DDD,Périgord black truffles,Vegetables and vegetable products,4.927083039,0.010558015
A0DDH,Other cultivated fungi,Vegetables and vegetable products,4.927083039,0.010558015
A0DLA,Puntarelle,Vegetables and vegetable products,0.286584439,0.014712195
A00MR,Agretti,Vegetables and vegetable products,0.436047854,0.989547038
A00ZQ,Dried vegetables,Vegetables and vegetable products,7.983476434,15.47726495
A00SY,Soyabeans sprouts,Vegetables and vegetable products,0.41645939,0.250214147
A00MD,Dandelions,Vegetables and vegetable products,0.286584439,0.014712195
A00ND,Watercresses,Vegetables and vegetable products,0.286584439,0.014712195
A00MP,Purslanes,Vegetables and vegetable products,0.653047854,0.989547038
A0DJT,Chards and similar-,Vegetables and vegetable products,0.464455302,0.416744062
A00RA,Salsifies,Vegetables and vegetable products,0.653047854,0.989547038
A03GA,Energy drinks,Water and water-based beverages,0.514550149,0.466888553
A03FP,"Cola beverages, decaffeinated",Water and water-based beverages,0.514550149,0.466888553
A03GB,Isotonic and sport drinks,Water and water-based beverages,0.514550149,0.466888553
