No,Selected Meals,Ingredients,Weight,kJ,Calorie,Fat ,Saturated ,Carbohydrates,Sugar,Fiber,Protein,Sodium,Source,Country,,,
48,"Oven baked cod with small vegetables in shrimp sauce, mushroom lasagna and parmesan foam","ingredients
4 pieces of cod back per approx. 180 g
100 g raw shrimp with shell
1 tablespoon tomato paste
1 cup white wine
3 cloves of garlic
1 tassel parsley
1 tablespoon unsalted butter
salt and cayenne pepper
8 small shallots
100 g of shitake mushroom
2 dl cream
2 cups whole milk
1 tbsp kirsch
2 tablespoons grated parmesan
Pasta for lasagna
500 g wheat flour
10 egg yolks
1 egg
1 pinch of salt
3 drops of olive oil
Sopplassagne
lasagne sheets
100 g of purified and washed spinach
200 g sliced assorted mushrooms
1 tablespoon olive oil
1 tablespoon wheat flour
2 tablespoons unsalted butter
4 cups whole milk
4 tablespoons grated parmesan
1 tbsp finely chopped tarragon
1 tablespoon shallots",100,567.7892328,135.5620404,5.636555761,2.778583826,11.77134035,0.520128992,2.233817145,6.756201854,0.120724676,Aperitif,Norway,,,
49,Baked reindeer fillet with two sauces,"700 g reindeer fillet
1 tablespoon butter
2 tablespoons finely chopped fresh thyme
salt / pepper
cranberries sauce
6 dl good power preferably of game
200 g mire poix (carrot, onion, leek and celery root in small cubes)
4 dl red wine
200 g of cranberries
1 tablespoon butter
salt / pepper
possibly corn
currant sauce
6 dl good power preferably of game
200 g mire poix
4 dl port wine
200 g of black currant
1 tablespoon butter
salt / pepper
possibly corn
celery Puree
300 g of celery root
0.75 dl cream
salt / pepper
potato Sausage
300 g almond potatoes
2 pieces of puff pastry
2 egg yolks
1 tablespoon finely chopped parsley
2 tablespoons butter
2 tablespoons wheat flour",100,538.4053876,128.920599,6.244701893,3.291890365,6.572007158,1.761326175,1.285673919,7.535085241,4.987496468,Aperitif,Norway,,,
50,Fried chicken in spinach pesto,"1 large chicken
Plenty of fresh spinach leaves
2 cloves with garlic
8 shallots
Shredded bell pepper (red or yellow)
Green beans
Boiled potatoes",100,389.8000816,92.94165646,4.230926153,1.509587923,4.687882497,0,1.068951448,8.461852305,0.042676458,Aperitif,Norway,,,
51,Christmas Ribbe,"500 g ribs per person
salt and pepper
water
Sauce
power from the frying
sauerkraut
red cabbage
Otherwise accessories at will.",100,348.9190226,83.31201228,3.989701932,1.782973008,1.231290777,0.719585519,0.10394013,10.56191634,2.66958232,Aperitif,Norway,,,
52,Garlic marinated neck chops,"4 neck chops
1 piece garlic
1 dl olive oil
3 tsp lemon juice
1 tablespoon coarse mustard
2 tablespoons sweet chili sauce
2 teaspoons chili paste / chili paste",100,1109.803922,267.6470588,22.01426025,6.381461676,2.085561497,1.087344029,0.151515152,15.23172906,0.080124777,Aperitif,Norway,,,
53,Fish soup from Caldeira (Portugal),"1 kg different fillets of white fish, divided into 5 cm pieces
sea salt to sprinkle over
3 tablespoons olive oil, plus extra for frying bread
2 onions, chopped
2 green bell peppers, cleaned and chopped
4 tomatoes, without core, skinned and chopped
3 large garlic cloves, finely chopped
2.5 dl dry white wine, plus ½ dl if you steam the sand shells separately
freshly ground pepper
1 kg sand shell, well scrubbed
6 slices of country bread, without crust
6 tablespoons unsalted butter
leaf parsley, chopped",100,428.4855933,101.870818,3.446674859,1.52942783,4.413491738,0.396012563,1.149801994,11.43520415,0.132158951,Aperitif,Norway,,,
54,Fishing fillet with Pesto alla Genovese,"2 tablespoons Barillas Pesto alla Genovese
4 fish fillets of white fish, eg cod
400 g pasta, preferably Casarecce
salt and pepper",100,577.9314888,136.5612648,2.66798419,0.467720685,11.08036891,0.026350461,0.579710145,16.86429513,0.178919631,Aperitif,Norway,,,
55,Onions filled with ratatouille,"4 onions
0.5 dl of oil
1 piece squash into small cubes
2 stalks of celery in small cubes
1 piece green bell pepper in cubes
2 garlic cloves
1 dl ripped tomatoes
2 tablespoons finely chopped mug
2 tablespoons finely chopped oregano

",100,1053.260358,255.8262712,26.34769303,1.965630885,3.089689266,0,1.353578154,0.900423729,0.002824859,Aperitif,Norway,,,
56,Stuffed chicken fillet with curry and coconut sauce,"4 chicken fillets
4 pieces of brie
8 pieces of bacon
1 piece of fist fresh thyme
salt and ground pepper
Accessories
1 piece of crunchy carrots
1 piece of sugar peas
1 piece of red onion
0.5 tablespoons red curry paste
butter
5 cups of coconut milk
season with salt, grated pepper and lemon juice
1 cup fresh coriander",100,768.305801,185.5551287,15.43219362,11.50211295,1.432961967,0,1.048789858,9.669611986,0.287552824,Aperitif,Norway,,,
57,Annabel Langbeins lamb shank,"2 tablespoons flour
Salt and pepper, to taste
8 pieces of lamb shanks
3 tablespoons olive oil
4 pieces of whole garlic, split in two.
2 tablespoons tomato puree
1 tablespoon brown sugar
1 bottle of red wine
2.5 dl port wine
1 l cattle or lamb power",100,669.7014003,160.7177848,8.783895814,3.621331565,3.866270744,2.10270865,0.075365901,10.49847007,5.833999064,Aperitif,Norway,,,
58,"Mussels with lemongrass, ginger, coconut, lime and chili","2.4 kg of mussels
4 shallots, finely chopped
100 g carrot, small cubes
100 g celery rod, small cubes
2–3 lemongrass, thin slices
4 pieces of lime sheet, shredded
60 g ginger, finely chopped
1 piece Chinese garlic, finely chopped
2 pieces of red chili without seeds, in thin slices
1 tsp yellow curry paste
4 tsp curry mattress powder
4 tablespoons butter
4 cup white wine
1.2 l of coconut milk
2 spring onions, thin slices
fresh coriander
oil, salt and pepper
2 pieces of lime, juice",100,356.652222,85.12354785,3.00802139,1.502858197,3.187811175,1.336898396,0.90816891,6.331827402,0.403443666,Aperitif,Norway,,,
59,Carne no Tacho com Couve - Lamb casserole with cabbage,"1 kg lamb with bone or 800 g without bone
100 g of bacon
1.5 dl red wine
1 DL water
1 cabbage head
salt and pepper
allspice",100,369.7183099,88.16901408,3.647887324,1.455399061,1.291079812,0,0.647887324,11.13615023,0.291830986,Aperitif,Norway,,,
60,Grilled monkfish with lentil ragu with apples and bacon vinaigrette,"monkfish
800 g broadleaf fillet
Salt
Pepper
Linseragu
100 g lentils
2 shallots
1 tablespoon oil
3 parts chicken power
1 pcs Granny Smith apple
Bacon vinaigrette
100 g of bacon
2 shallots
The juice of ½ lemon
finely chopped chives
0.5 dl of oil",100,483.1917476,115.5946602,6.213592233,1.371359223,3.246359223,0.764563107,0.746359223,11.29854369,3.02178398,Aperitif,Norway,,,
61,Grilled quesedilla with chorizo,"150 g chorizo sausage in thin slices
6 pieces of wheat tortillas
250 g brie
2 tomatoes
0.5 pack of ruccula",100,1026.97201,246.2086514,14.40203562,7.55216285,17.48600509,0,1.119592875,11.043257,0.652620865,Aperitif,Norway,,,
62,Roast chicken on skewers (Frango no espeto) (Portugal),"4 chickens, about 500 g
3 tablespoons unsalted butter
1 tablespoon finely chopped garlic
salt
freshly ground pepper
MARINADE
5 dl olive oil
1 tablespoon dried chili flakes
1.25 dl freshly squeezed lemon juice
3 garlic cloves, crushed",100,1879.74026,455.9307359,46.31168831,9.142857143,1.151515152,0,0.424242424,8.363636364,0.19021645,Aperitif,Norway,,,
63,Casserole with shrimp as in Malabar,"5 tablespoons of sunflower oil
2 large onions, finely chopped
2 teaspoons cumin seeds
2 tsp black mustard seeds
1 teaspoon of fenugreek seeds
1 teaspoon chili powder
1 teaspoon of turmeric
2 tsp ginger paste
2 tsp garlic paste
300 g of raw shrimp, purified
6 pieces of cumin fruits, dried
salt
150 g coconut, fresh",100,659.336864,159.1066084,12.06539259,5.80244071,4.996546168,0.149666129,2.958784251,6.136311307,0.741077596,Aperitif,Norway,,,
64,Domestic chops with stewed vegetables from Denmark,"4 pork fillet chops
1 egg
2 dl bread grater
1 teaspoon salt
0.5 tsp pepper
2 tablespoons margarine for frying
Stewed vegetables
600 g frozen vegetable mixture
1 tablespoon butter
2 tablespoons wheat flour
3 dl water",100,619.3445244,148.7343459,10.21582734,4.225952571,3.591793232,0,1.497468692,9.954702904,0.186144418,Aperitif,Norway,,,
65,Baked salmon,"4 pieces of salmon from fresh salmon.
(3-4 cm from one salmon side per piece)
4 pieces of frozen puff pastry
fox horseradish
garlic cheese
juice from a squeezed lemon
some grated cheese
fresh dill",100,1074.792453,257.9622642,17.49433962,7.101886792,8.845283019,0,0.913207547,15.88679245,0.210716981,Aperitif,Norway,,,
66,Chinese chicken noodles,"1 tbsp sesame oil
1 piece bone and skinless chicken breast in thin slices
1 bundle of spring onions, finely sliced
100 g of sugar peas, cleaned and cut in half
1 piece of red chili pepper, finely chopped
2 tablespoons dark soy sauce
75 g cooked ham, chopped
250 g thin egg noodles
2 tablespoons fresh coriander, chopped",100,923.5465118,219.1860466,5.014534884,1.177325582,28.31395349,0,1.002906977,14.66569768,0.738081396,Aperitif,Norway,,,
67,Kjetil's Best Cod with Herb Sauce,"700 g of cod fillet
1 liter of water
3 tablespoons salt
2 pieces of parsley stalks
0.5 pieces of lemon in boats
Sauce
1 small small chopped onion
2 pieces of tomatoes in small cubes
small leeks in thin rings
2 tablespoons olive oil
2 tablespoons chopped parsley and chives
2.5 dl food cream
maisennajevning
salt & pepper
Accessories
Cooked rice

",100,300,71.25039974,2.414454749,1.093700032,6.827630317,0,0.316597378,5.388551327,0.892228974,Aperitif,Norway,,,
68,Baked sausage in lemon and apple sauce,"600 g chop fillet, without skins and bones
1 teaspoon salt
0.5 tsp pepper
1 piece of lemon
4 pieces of garlic
2 tablespoons olive oil
1 spring onion
3 cups of apple juice
1 teaspoon of light corn evenly or corn",100,582.0935531,139.7265782,9.603270339,3.846669347,5.622570701,0,0.375284814,7.519099316,0.204798284,Aperitif,Norway,,,
69,"Poached Arctic char on crispy cauliflower, topped with forest duck line and lardo, potato gnocchi and potato and stone foam","Poached Arctic char topped with mushroom duxelline and lardo:
2 medium-sized polar sea urchins
1 dl coriander, finely chopped
Soppduxelline:
100 g chanterelles
100 g of mushroom
50 g of shallots
½ cloves of garlic
3 tablespoons oil
4 tablespoons Tine Butter
a little finely chopped parsley
butter, salt and pepper
12 thin slices of lardo or lightly salted bottle
Cauliflower Cream:
500 g cauliflower
100 g Tine Butter
1 tbsp TINE Cream cheese
salt
50 g Tine Butter for frying the cauliflower bouquets and gnocchi.
Potetgnocchi:
250 g almond potatoes
2 egg yolks
100-150 g durum wheat
Potato-cep foam:
150 g almond potatoes
100 g of mushrooms
50 g of shallots
5 parts of chicken power
1 ½ dl TINE Cream
1 ½ dl TineMelk
salt and pepper
Bruschetta;
1 day old bread
olive oil",100,949.9512875,228.5038274,16.02783577,5.720250522,13.09394572,0.584551148,2.91440501,6.538622129,2.499846903,Aperitif,Norway,,,
70,Poke like in Hawaii,"600 g of salmon
1 mango
0.5 cucumber
1 piece banana shallots
3 spring onions, finely cut
3 tablespoons soy sauce
1 tbsp sesame oil
1 tsp chili garlic sauce
0.5 tablespoons sesame seeds, black
0.5 tbsp sesame seeds, white",100,556.9892473,133.4129829,8.434886499,1.561131023,3.863002788,0.09557945,0.653126245,10.22700119,0.238072481,Aperitif,Norway,,,
71,Spagetti Bolognese,"400 g of meat dough
1 piece of onion
half packet of spaghetti
1 glass of tomato puree
1 teaspoon salt
1 teaspoon pepper",100,559.5138889,132.3611111,1.909722222,0.527777778,17.72222222,0,1.569444444,10.28472222,0.506041667,Aperitif,Norway,,,
72,Roasted turkey,"1 piece turkey
butter for brushing
salt and pepper
rosemary, thyme, parsley and sage.",100,598.6887114,142.7023945,7.001140249,3.02736602,0.302166477,0,0.416191562,19.45267959,0.829190422,Aperitif,Norway,,,
73,Zedoar rice soup (Amb Halad Ka Shorba) (India),"6 tablespoons asparagus beans, finely chopped
6 tablespoons carrots, finely chopped
6 tablespoons peas
6 tablespoons of corn
4 tablespoons of sunflower oil
2 onions, finely chopped
6 tablespoons tomatoes, finely chopped without skin
salt
1 teaspoon sugar
4 tablespoons white vinegar
4 tablespoons coriander leaves, chopped
1 tsp zedoari, finely chopped",100,303.3962264,73.01886792,4.037735849,0.41509434,6.066037736,0.471698113,2.566037736,1.773584906,0.255849057,Aperitif,Norway,,,
74,Alabama Beef Bowl (USA),"1 kg of beef brisket or breast
2 onions
100 g butter or margarine
1.5 dl tomato ketchup
1 cup wine vinegar
0.5 dl sugar
1 tablespoon mustard
1 piece of pinched cayenne pepper
3 slices of lemon
2 tablespoons Worcestershire sauce
4 DL water",100,433.225196,103.4908083,5.119626926,2.923087321,4.769025412,3.04136253,0.422411463,9.385982698,0.1886912,Aperitif,Norway,,,
75,Baklava (Turkey),"250 g wheat flour
1 egg
1 teaspoon salt
2 tablespoons oil
3 tablespoons milk
FILL
300 g almonds
300 g of sugar
grated shell of 1 lemon
150 g raisins
1 tsp cardamom
SYRUP
375 g of sugar
5 dl water
the juice of 1 lemon
0.5 pcs bar cinnamon, 5 cm
-
lubricating and brushing oil",100,1221.793635,290.6943105,9.214079074,0.819672131,44.72999036,32.54580521,3.833172613,5.274831244,0.132786885,Aperitif,Norway,,,
76,Club steak with cheese baked potatoes ,"1 slice, 4-5 cm thick, well hung beef comb
salt
pepper
ACCESSORIES
500 g small onions
2 tablespoons butter
6 large potatoes
1 tablespoon oil
salt
400 g cheese (Norvegia, Switzerland or Port Salut)",100,670.905415,161.0494636,10.48199968,6.139867209,6.949709376,0,1.131481609,9.183954787,0.197061594,Aperitif,Norway,,,
77,Single smoked salmon laurel with cucumber curry and dillaioli,"400 g of salmon lino with skin
Pink peppercorns
Salt
Sugar
Fresh thyme
Dill Aioli
2 egg yolks
2 dl of corn oil or other neutral oil
Salt
dill
A few drops of lemon
cucumber Roll
1 cucumber
1 box of cream cheese
20 g of chevre",100,1187.066975,287.3749038,27.99076212,8.190916089,1.147036182,0,0.300230947,7.621247113,0.233487298,Aperitif,Norway,,,
78,A lightly cooked chicken salad with avocado and bacon,"1 piece of chicken, grilled
6 cherry tomatoes or 2 regular tomatoes
2 tablespoons of Norman cheese
6 leaves of lettuce salad
2 pcs lollo rosso, leaves
1 piece of avocado
4 pieces of bacon
dressing
2 dl light streams
a little lemon juice
sugar",100,709.9177801,170.5035971,12.48715313,4.77389517,1.073997945,0.256937307,0.590955807,13.18602261,0.116135663,Aperitif,Norway,,,
79,Fish Power,"2 kg of fish, head, back bone and small fish from the fishing trip
1 piece leeks, the green portion
0.5 pieces of onion
30 g celery root
1 teaspoon peppercorns
1 piece of bay leaf
1.5 l water
2 tablespoons salt",100,307.5128509,72.24199288,0.466587584,0.09489917,0.810597074,0,0.502174773,16.04982206,0.684657968,Aperitif,Norway,,,
80,Happy salmon in E.C.Dahl's Christmas beer,"400 g fresh salmon fillet
Lake
1 DL water
1 tsp mustard seeds
1 cup light vinegar, 5%
20 pieces of black peppercorns
3 dl E. C. Dahl's Christmas Beer
2 bay leaves
2 tablespoons salt
250 g of onion in thin rings
4 tablespoons sugar
2 whole carnations",100,765.4226619,181.9244604,6.18705036,2.540467626,23.5971223,18.04856115,0.616007194,6.807553957,0.765647482,Aperitif,Norway,,,
81,Grilled fish in pita,"600 g slices or fillets of cod, saithe or onion.
oil
salt
coarsely ground pepper
ev.grillkrydder
Accessories
pita bread or tortillas
East
salad",100,787.3191489,187.6595745,8.034042553,3.540425532,12.42553191,0,0.612765957,16.13617021,0.558382979,Aperitif,Norway,,,
82,Grilled salmon with mango salsa,"600 g of salmon fillet
Mango Salsa
1 piece mango in cubes
2 spring onions in thin slices
1 piece finely chopped red chilli without seeds and membranes
2 tablespoons minced fresh coriander
1 tablespoon white wine vinegar
2 tablespoons olive oil
juice of 1 lime
salt and pepper to taste",100,646.4146306,155.1431256,10.58985109,1.906534625,3.415498048,0,0.677678184,11.24042215,0.04038962,Aperitif,Norway,,,
83,Barbecue skewers of turkey,"2 packs of Prior Grill skewer turkey
1 piece of chicory salad
3 tablespoons oregano
1 piece watermelon
Grill Oil
0.5 dl of olive oil
1 tablespoon oregano
salt
pepper
juice of 1 lemon
1 tbsp honey",100,237.7827186,56.16422455,1.359459966,0.229925085,6.451296063,0,0.604948524,4.317234113,0.015670622,Aperitif,Norway,,,
84,Hamburger with dressing,"400 g minced meat / chops
2 tablespoons mashed potatoes
0.5 tsp salt
0.25 tsp pepper, or two puffs with the grinder
1 dl milk
Dressing for hamburgers
2 cups of sour cream
1 teaspoon lemon juice
2 tablespoons finely chopped chives
0.25 tsp pepper, or two puffs with the grinder
Make your own twist on the burger by varying the accessories of the burger. Some good things are
Salad
Tomato
Cucumber, fresh or pickled
Pineapple
East
Bacon
Onion",100,583.3185343,140.3539928,11.06375422,6.665482744,3.575445451,0,0.639318061,6.345823714,0.213165216,Aperitif,Norway,,,
85,Hot & spicy pasta with grilled trout / salmon,"700 g of skin and boneless trout / salmon fillet
1 teaspoon salt
1 teaspoon pepper mix
6 pieces of ripe tomatoes
1 piece of red chilli
1 garlic boat
1 piece of onion
1 tablespoon finely chopped fresh basil or 1 teaspoon dried
2 tablespoons olive oil
salt
pepper
pasta for 4 people",100,605.5992702,144.5432775,6.203672026,1.191698027,11.35249173,0,1.083361843,10.25202418,0.31263542,Aperitif,Norway,,,
86,Indonesian grill wok,"4 chicken fillets
marinade
2 boats finely chopped garlic
1 tablespoon finely chopped, fresh ginger
1 piece finely chopped red chili pepper
1 piece of finely cut lemongrass (can be looped)
0.5 dl of oil
Wok-vegetables",100,480.9131737,114.9700599,4.633233533,0.636227545,3.023952096,0,1.25,14.65568862,0.039446108,Aperitif,Norway,,,
87,Irish stew,"1.5 kg lamb in slices
1 piece of cabbage
8 pieces of potato
1 celeriac (celery root)
2 carrots
4 onions
6 dl water
1.5 tsp salt
1 piece of bay leaf
1 teaspoon pepper
2 tablespoons finely chopped parsley",100,2.626015356,58.06164459,1.384221654,0.576388116,3.148992989,0,1.050406142,7.76677423,0.11449872,Aperitif,Norway,,,
88,"Turkey steak with sweet potato, ruccula and cheese butter","4 turkey steaks
4 pieces of good sliced bacon
2 tablespoons butter for frying
salt and pepper
Ruccula and cheese butter
250 g room-temperature butter
2 dl grated cheese (well stored)
2 dl finely chopped ruccula
1 garlic, finely chopped
Fried sweet potatoes
4 sweet potatoes
2 tablespoons oil
salt and pepper",100,931.0005467,224.2208857,16.88901039,9.704756698,5.297977037,0,0.940404593,12.23619464,0.215199563,Aperitif,Norway,,,
89,Meatballs with chili and pasta,"500 g pork minced meat
1 teaspoon salt
0.5 tsp pepper
0.5 pieces minced garlic
2 tablespoons chopped leaf parsley
2 teaspoons grated lemon peel
1 egg
2 tablespoons oil for frying
1 piece of red chilli in rings
pasta
250 g of pasta pens
1.5 l water
1 broccoli
2 blocks of Italian spice broth or other spice broth
The juice of ½ lemon
2 tablespoons olive oil
0.5 tsp pepper",100,351.8512499,84.09452914,4.615934727,1.514806748,4.713454475,0.585118486,0.627377044,5.649644053,2.318206937,Aperitif,Norway,,,
90,Classic lutefish muffler,"300 g of purified fish
3 tablespoons wheat flour
3 dl milk
3 tablespoons butter
2 tsp salt
1 spice seasoning pepper
3 egg yolks
3 egg whites
1 tbsp corn corn
Alternatively
1 piece spice nutmeg, allspice or cumin",100,520.9830745,124.6232321,7.488986784,4.127057734,4.382100627,0,0.498492928,9.726408535,0.713888245,Aperitif,Norway,,,
91,Crab Lasagne,"2 crab shells
200 g of frozen spinach
1 piece onion, chopped
1 tablespoon olive oil
4 pieces of tomatoes, in slices
White sauce
2 tablespoons butter
4 tablespoons wheat flour
4 cups whole milk
salt, pepper
12 lasagna plates",100,583.081834,138.4503772,3.795705165,1.549622751,18.38943703,0,1.305861869,7.031340685,0.244573418,Aperitif,Norway,,,
92,"Salmon ceviche with spring onion, sesame seeds, deep fried noodles and rhubarb address","Ceviche
0.5 kg of salmon fillet; fresh
shredded sheet
sea salt
dressing
1 crème fraîche
2 tablespoons lrabar bras juice, sweet
blurring of rhubarb
Salt and pepper
Salad
3 spring onions in thin strips
3 tablespoons toasted sesame seeds
Mixed leaf lettuce
2 strips, cooked rhubarb bristles, strips
1 piece of noodles
oil for deep frying",100,1851.809955,448.5671192,43.32579186,6.387631976,5.196078431,0,0.701357466,9.102564103,0.235444947,Aperitif,Norway,,,
93,Sushi hand rolls with salmon sake temaki,"100 g salmon fillet, tender
1 tablespoon chives, chopped
200 g of salmon fillet, cut into strips
200 g of radish (Japanese radish)
200 g omelet
1 green radish or bean shot
0.5 sliced onions in slices
1 cucumber
1 piece of avocado
4 large sheets of Nori (seaweed)
sushi rice",100,620.7800512,148.1457801,7.512787724,1.592071611,12.60869565,0,0.882352941,7.148337596,0.067966752,Aperitif,Norway,,,
94,Tacos with cod and salsa,"600 g of fillet of cod
1 large bell pepper red or green
1 piece of onion
4 pieces of tortillas
Cajun spice or other good spice
0.5 dl of olive oil
200 g of reef cheese eg. Jarlsberg
Accessories
tacos sauce or salsa",100,685.2421652,163.5327635,7.458689459,3.05982906,11.8974359,0,0.883190883,11.77777778,0.391054131,Aperitif,Norway,,,
95,Calf liver with bulgur,"500 g of calf liver
1 tablespoon butter
1 tablespoon olive oil
  salt and pepper
  leaf parsley, finely chopped
Bulgur:
2 dl bulges
1 box of tomatoes, chopped / passata
1 piece bell pepper, finely chopped
0.5 pack (s) of broccolini
1 piece garlic clove, finely chopped
2 shallots, finely chopped
0.25 tsp chili powder
0.5 dl of sultanarosins
1 tablespoon olive oil
1 tablespoon butter
1 tablespoon leaf parsley, finely chopped",100,398.2808747,94.45076476,3.099481734,1.061812666,8.939451397,0,1.734294021,6.906838579,0.104613829,Aperitif,Norway,,,
96,Pot au Feu,"1 kg beef, high back
6 pieces of bone marrow in portion pieces
6 carrots
2 slices of onion
2 celery stalks
0.5 pcs celery root
1 piece of onion
3 cloves
2 garlic cloves
1 thyme sprig
1 piece of rosemary squid
1 piece of parsley stalk
  salt and pepper
3 l water
3 pieces of lettuce salad",100,178.3579526,42.28787358,1.350051529,0.585709378,1.131913432,0,0.475781518,6.193747853,0.062572999,Aperitif,Norway,,,
97,Calf schnitzel,"300 g flat beef veal
3 tsp honey mustard (or other mustard)
8 bay leaves
pieces of salt and pepper
2 tablespoons oil
1 tsp honey mustard
1 dl dry white wine (or veal)
1 tablespoon butter",100,769.2759295,184.3444227,9.510763209,2.974559687,6.223091977,2.015655577,2.211350294,13.48336595,0.315459882,Aperitif,Norway,,,
98,hot meatballs with almond mesh potatoes,"500 g minced meat 
0.5 tsp salt 
1 pc egg 
0.5 dl whole milk 
1 pc finely chopped garlic clove 
1 pc chili pepper, small 
Potetpure
1 kg almond potatoes 
4 tbsp dairy butter 
3 dl whipped cream 
1 tsp salt 
0.5 tsp pepper, freshly ground
",100,620.386732,148.6343212,9.097793709,5.674761448,9.274498915,0,0.833038825,7.037915888,0.345938305,Aperitif,Norway,,,
99,beef with oven-baked tomatoes and chilli dressing,"4 pcs steaks of 200 g of tenderloin beef 
1 tsp salt 
0.5 tsp pepper 
2 tbsp margarine for frying 
3 dl kesam original 
4 tbsp sweet chili sauce 
400 g cherry tomato, red 
100 g lettuce leaves 
50 g ruccula 
0.5 pcs red onion ",100,557.7118932,133.8689601,9.103768247,4.99603938,2.483874618,0.882652484,0.492248501,10.28063823,0.227961978,Aperitif,Norway,,,
100,Steak with potato salad,"600 g steak
  
Potato salad
12 pcs potatoes 
3 dl light cream 
2 tsp pesto 
50 pcs walnuts 
1 dl arugula salad, finely chopped",100,909.2923517,218.9421015,17.05503931,6.204431737,4.996426019,0.007147963,0.900643317,10.92923517,0.034238742,Aperitif,Norway,,,
